latex,tenkai,bc,n,n,1,数と式,展開,s,[+-],+-,[+-],+-,1b,1b,0a,1a,end
latex,insuubunkai,(ax+b)(cx+d),2,n,1,数と式,因数分解,s,+-,+-,,,2a,3a,,,end
latex,insuubunkai,(ax+b)(cx+d),3,n,1,数と式,因数分解,s,+-,+-,,,3a,3a,,,end
latex,insuubunkai,(ax+b)(cx+d),4,n,1,数と式,因数分解,s,+-,+-,,,3a,4a,,,end
latex,insuubunkai,(x+a)(x+b),1-5,n,1,数と式,因数分解,s,[+-],+-,[+-],+-,0a,1a,1b,1b,end
latex,insuubunkai,(x+a)(x+b),6-10,n,1,数と式,因数分解,s,[+-],+-,[+-],+-,0a,1a,1b,2b,end
latex,doublesqrt,n,1,n,1,数と式,二重根号,s,+-,+-,,,1,1,,,end
latex,doublesqrt,n,2,n,1,数と式,二重根号,s,+-,+-,,,2a,2a,,,end
latex,doublesqrt,n,3,n,1,数と式,二重根号,s,+-,+-,,,3a,2a,,,end
latex,junkan,0.x,n,n,1,数と式,循環小数,s,+-,,,,1,,,,end
latex,junkan,a.x,n,n,1,数と式,循環小数,s,+-,,,,2,,,,end
latex,junkan,0.0x,n,n,1,数と式,循環小数,s,+-,,,,2,,,,end
latex,squarecomp,pq,a=1,n,1,二次関数,平方完成,s,[+-],+,[+-],+,0a,1a,1b,3b,end
latex,squarecomp,pq,a!=1,n,1,二次関数,平方完成,s,[+-],+,[+-],+,0a,2a,1b,5b,end
latex,equation2,(x+a)(x+b),1-5,n,1,二次関数,二次方程式の解,s,+,+,,,1a,2a,,,end
latex,equation2,(x+a)(x+b),6-10,n,1,二次関数,二次方程式の解,s,+,+,,,2a,2a,,,end
latex,maxmin,n,n,n,1,二次関数,最大値・最小値,s,+,+,,,2,2,,,end
choose,symmetry,n,n,n,1,二次関数,対象移動,,,,,,1,,,,end
choose,discriminant,easy,a=1,n,1,二次関数,判別式,,,,,,1,,,,end
choose,discriminant,easy,a!=1,n,1,二次関数,判別式,,,,,,2,,,,end
choose,discriminant,hard,a=1,n,1,二次関数,判別式,,,,,,2,,,,end
choose,discriminant,hard,a!=1,n,1,二次関数,判別式,,,,,,3,,,,end
latex,sct1,n,n,n,1,三角比,三角比の値,s,+,,,,1,,,,end
latex,sougo,sin,n,n,1,三角比,相互関係,s,+,,,,2,,,,end
latex,sougo,cos,n,n,1,三角比,相互関係,s,+,,,,2,,,,end
latex,sougo,tan,n,n,1,三角比,相互関係,s,+,,,,4,,,,end
choose,inequality_t1,easy,n,n,1,三角比,三角比の不等式,s,+,,,,2,,,,end
choose,inequality_t1,hard,n,n,1,三角比,三角比の不等式,s,+,,,,2,,,,end
choose,inequality_t1,tan,n,n,1,三角比,三角比の不等式,s,+,,,,3,,,,end
choose,value_t1,n,n,n,1,三角比,三角比の値域,s,+,,,,2,,,,end
latex,triangle,sc,n,n,1,三角比,図形問題,s,+,,,,3,,,,end
latex,triangle,cs,n,n,1,三角比,図形問題,s,+,,,,4,,,,end
latex,triangle,ta,n,n,1,三角比,図形問題,s,+,,,,5,,,,end
latex,triangle,seigen,n,n,1,三角比,図形問題,s,+,,,,6,,,,end
latex,triangle,yogen,n,n,1,三角比,図形問題,s,+,,,,8,,,,end
latex,triangle,menseki,n,n,1,三角比,図形問題,s,+,,,,4,,,,end
latex,solandcoe,p+q,a=1,n,2,解と方程式,解と係数の関係,s,+,,,,1,,,,end
latex,solandcoe,p+q,a!=1,n,2,解と方程式,解と係数の関係,s,+,,,,2,,,,end
latex,solandcoe,pq,a=1,n,2,解と方程式,解と係数の関係,s,+,+,+,,1,,,,end
latex,solandcoe,pq,a!=1,n,2,解と方程式,解と係数の関係,s,+,+,+,,2,,,,end
latex,solandcoe,p^2+q^2,a=1,n,2,解と方程式,解と係数の関係,s,+,+,+,,1,1,4a,,end
latex,solandcoe,p^2+q^2,a!=1,n,2,解と方程式,解と係数の関係,s,+,+,+,,1,2,5a,,end
latex,solandcoe,|p-q|,a=1,n,2,解と方程式,解と係数の関係,s,+,+,+,,1,1,5a,,end
latex,solandcoe,|p-q|,a!=1,n,2,解と方程式,解と係数の関係,s,+,+,+,,1,2,6a,,end
latex,solandcoe,(p+1)(q+1),a=1,n,2,解と方程式,解と係数の関係,s,+,+,+,,1,1,4a,,end
