観測所番号,観測所名,ｶﾀｶﾅ名,緯度,経度,標高,正式名称,都道府県,市町村
11001,宗谷岬,ｿｳﾔﾐｻｷ,45.52,141.935,26,宗谷岬アメダス,北海道,稚内市
11016,稚内,ﾜｯｶﾅｲ,45.415,141.678,3,稚内地方気象台,北海道,稚内市
11046,礼文,ﾚﾌﾞﾝ,45.305,141.045,65,礼文アメダス,北海道,礼文郡礼文町
11061,声問,ｺｴﾄｲ,45.403,141.802,8,稚内航空気象観測所,北海道,稚内市
11076,浜鬼志別,ﾊﾏｵﾆｼﾍﾞﾂ,45.335,142.17,13,浜鬼志別アメダス,北海道,宗谷郡猿払村
11091,本泊,ﾓﾄﾄﾞﾏﾘ,45.242,141.187,30,利尻航空気象観測所,北海道,利尻郡利尻富士町
11121,沼川,ﾇﾏｶﾜ,45.248,141.852,23,沼川アメダス,北海道,稚内市
11151,沓形,ｸﾂｶﾞﾀ,45.178,141.138,14,沓形アメダス,北海道,利尻郡利尻町
11176,豊富,ﾄﾖﾄﾐ,45.102,141.78,14,豊富アメダス,北海道,天塩郡豊富町
11206,浜頓別,ﾊﾏﾄﾝﾍﾞﾂ,45.125,142.35,18,浜頓別アメダス,北海道,枝幸郡浜頓別町
11276,中頓別,ﾅｶﾄﾝﾍﾞﾂ,44.965,142.28,25,中頓別アメダス,北海道,枝幸郡中頓別町
11291,北見枝幸,ｷﾀﾐｴｻｼ,44.94,142.585,7,北見枝幸特別地域気象観測所,北海道,枝幸郡枝幸町
11316,歌登,ｳﾀﾉﾎﾞﾘ,44.842,142.48,14,歌登アメダス,北海道,枝幸郡枝幸町
12011,中川,ﾅｶｶﾞﾜ,44.828,142.077,22,中川アメダス,北海道,中川郡中川町
12041,音威子府,ｵﾄｲﾈｯﾌﾟ,44.727,142.265,40,音威子府アメダス,北海道,中川郡音威子府村
12066,小車,ｵｸﾞﾙﾏ,44.608,142.295,60,小車アメダス,北海道,中川郡美深町
12141,美深,ﾋﾞﾌｶ,44.48,142.342,77,美深アメダス,北海道,中川郡美深町
12181,名寄,ﾅﾖﾛ,44.37,142.457,89,名寄アメダス,北海道,名寄市
12217,西風連,ﾆｼﾌｳﾚﾝ,44.295,142.358,128,西風連アメダス,北海道,名寄市
12231,下川,ｼﾓｶﾜ,44.295,142.637,143,下川アメダス,北海道,上川郡下川町
12256,剣淵,ｹﾝﾌﾞﾁ,44.107,142.353,138,剣淵アメダス,北海道,上川郡剣淵町
12261,士別,ｼﾍﾞﾂ,44.187,142.417,135,士別アメダス,北海道,士別市
12266,朝日,ｱｻﾋ,44.118,142.595,225,朝日アメダス,北海道,士別市
12301,和寒,ﾜｯｻﾑ,44.028,142.41,150,和寒アメダス,北海道,上川郡和寒町
12386,江丹別,ｴﾀﾝﾍﾞﾂ,43.87,142.26,140,江丹別アメダス,北海道,旭川市
12396,比布,ﾋﾟｯﾌﾟ,43.87,142.47,164,比布アメダス,北海道,上川郡比布町
12411,上川,ｶﾐｶﾜ,43.847,142.753,324,上川アメダス,北海道,上川郡上川町
12442,旭川,ｱｻﾋｶﾜ,43.757,142.372,120,旭川地方気象台,北海道,旭川市
12451,東川,ﾋｶﾞｼｶﾜ,43.702,142.508,215,東川アメダス,北海道,上川郡東川町
12457,瑞穂,ﾐｽﾞﾎ,43.737,142.638,289,瑞穂アメダス,北海道,旭川市
12471,層雲峡,ｿｳｳﾝｷｮｳ,43.753,142.93,540,層雲峡アメダス,北海道,上川郡上川町
