番号,地点名,緯度,経度,標高,年数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,通年
11001,宗谷岬,45.52,141.935,26,30,-45,-46,-11,39,82,119,161,187,164,108,36,-21,64
11016,稚内,45.415,141.678,3,30,-43,-43,-6,45,91,130,172,195,172,113,38,-21,70
11046,礼文,45.305,141.045,65,18,-46,-43,-4,41,85,128,173,197,174,112,36,-24,69
11061,声問,45.403,141.802,8,18,-56,-56,-15,37,89,131,172,192,160,98,29,-28,63
11076,浜鬼志別,45.335,142.17,13,30,-59,-60,-21,35,82,118,159,184,155,94,22,-35,56
11091,本泊,45.242,141.187,30,18,-45,-44,-6,44,96,137,177,198,171,109,36,-23,71
11121,沼川,45.248,141.852,23,30,-69,-69,-25,35,89,129,171,187,150,88,19,-41,56
11151,沓形,45.178,141.138,14,30,-40,-38,-3,46,96,137,180,199,173,115,40,-18,74
11176,豊富,45.102,141.78,14,30,-61,-61,-19,41,96,137,179,194,160,97,27,-34,63
11206,浜頓別,45.125,142.35,18,30,-63,-63,-20,40,92,128,169,190,158,96,24,-38,60
11276,中頓別,44.965,142.28,25,30,-84,-85,-32,35,97,138,179,191,150,84,15,-53,53
11291,北見枝幸,44.94,142.585,7,30,-55,-54,-15,43,91,124,166,191,165,103,30,-31,63
11316,歌登,44.842,142.48,14,30,-82,-82,-29,36,95,134,174,189,151,85,17,-50,53
12011,中川,44.828,142.077,22,30,-75,-72,-24,38,100,142,183,194,152,88,21,-42,59
12041,音威子府,44.727,142.265,40,30,-80,-77,-27,36,101,145,185,195,153,87,17,-48,57
12141,美深,44.48,142.342,77,30,-86,-80,-30,38,107,154,194,201,154,85,15,-53,58
12181,名寄,44.37,142.457,89,30,-86,-80,-30,38,108,156,195,199,152,83,15,-54,58
12231,下川,44.295,142.637,143,30,-88,-82,-33,36,102,148,188,194,147,79,13,-54,54
12261,士別,44.187,142.417,135,30,-85,-77,-28,42,112,158,197,201,155,88,17,-52,61
12266,朝日,44.118,142.595,225,30,-80,-74,-29,39,109,158,197,200,152,83,15,-50,60
12301,和寒,44.028,142.41,150,30,-83,-76,-26,45,116,163,201,205,158,90,19,-49,64
12386,江丹別,43.87,142.26,140,30,-91,-84,-33,31,106,157,198,200,151,80,11,-57,56
12396,比布,43.87,142.47,164,30,-83,-73,-25,46,118,166,204,206,158,88,17,-52,64
12411,上川,43.847,142.753,324,30,-84,-78,-33,33,104,153,192,194,145,76,8,-56,54
12442,旭川,43.757,142.372,120,30,-70,-60,-14,56,123,170,207,212,164,94,23,-42,72
12451,東川,43.702,142.508,215,30,-81,-73,-25,48,118,165,203,205,157,88,20,-49,65
12501,東神楽,43.67,142.447,211,18,-82,-73,-22,45,116,164,200,206,158,86,19,-50,64
12512,志比内,43.643,142.582,310,28,-83,-75,-29,39,110,155,196,199,152,83,14,-53,59
