番号,地点名,緯度,経度,標高,年数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,通年
11001,宗谷岬　　　　　　　,45.52,141.935,26,30,-26,-24,10,71,117,152,190,216,196,138,61,0,92
11016,稚内　　　　　　　　,45.415,141.678,3,30,-24,-20,16,74,124,161,201,223,201,141,63,0,97
11046,礼文　　　　　　　　,45.305,141.045,65,18,-27,-21,17,66,116,159,204,226,205,139,61,-3,95
11061,声問　　　　　　　　,45.403,141.802,8,18,-29,-25,16,79,138,177,214,233,207,143,61,-3,101
11076,浜鬼志別　　　　　　,45.335,142.17,13,30,-32,-29,9,71,122,152,191,217,197,137,55,-9,90
11091,本泊　　　　　　　　,45.242,141.187,30,18,-26,-22,18,76,135,175,213,231,207,141,62,-1,101
11121,沼川　　　　　　　　,45.248,141.852,23,30,-32,-26,14,77,140,177,216,231,204,139,56,-9,99
11151,沓形　　　　　　　　,45.178,141.138,14,30,-18,-14,21,76,132,173,214,231,206,144,67,5,103
11176,豊富　　　　　　　　,45.102,141.78,14,30,-29,-23,17,81,143,183,223,236,207,142,60,-6,103
11206,浜頓別　　　　　　　,45.125,142.35,18,30,-33,-26,14,80,137,169,207,228,203,141,56,-10,98
11276,中頓別　　　　　　　,44.965,142.28,25,30,-34,-25,18,85,158,196,233,244,211,142,55,-12,106
11291,北見枝幸　　　　　　,44.94,142.585,7,30,-28,-23,18,82,134,160,198,224,205,144,61,-4,98
11316,歌登　　　　　　　　,44.842,142.48,14,30,-32,-23,21,89,156,192,227,241,212,145,57,-10,106
12011,中川　　　　　　　　,44.828,142.077,22,30,-31,-22,20,87,160,201,238,247,212,144,59,-8,109
12041,音威子府　　　　　　,44.727,142.265,40,30,-39,-27,18,85,164,207,242,248,211,141,53,-15,107
12141,美深　　　　　　　　,44.48,142.342,77,30,-41,-27,20,92,174,221,255,258,214,142,53,-18,112
12181,名寄　　　　　　　　,44.37,142.457,89,30,-42,-27,20,93,175,223,256,257,214,142,53,-18,112
12231,下川　　　　　　　　,44.295,142.637,143,30,-39,-27,17,93,171,213,247,250,210,139,52,-17,109
12261,士別　　　　　　　　,44.187,142.417,135,30,-43,-28,19,95,175,220,254,256,212,141,54,-18,112
12266,朝日　　　　　　　　,44.118,142.595,225,30,-39,-28,18,94,175,221,256,256,212,139,53,-16,112
12301,和寒　　　　　　　　,44.028,142.41,150,30,-41,-27,21,98,179,224,258,260,215,143,55,-15,114
12386,江丹別　　　　　　　,43.87,142.26,140,30,-36,-23,22,92,176,220,257,258,214,143,56,-15,114
12396,比布　　　　　　　　,43.87,142.47,164,30,-42,-26,23,103,183,228,261,263,218,145,56,-17,116
12411,上川　　　　　　　　,43.847,142.753,324,30,-43,-32,13,88,168,212,245,247,203,132,48,-21,105
12442,旭川　　　　　　　　,43.757,142.372,120,30,-33,-17,30,112,188,228,262,266,219,149,62,-8,122
12451,東川　　　　　　　　,43.702,142.508,215,30,-40,-27,21,103,181,224,259,260,215,142,58,-15,115
12501,東神楽　　　　　　　,43.67,142.447,211,18,-41,-26,23,100,179,224,256,260,216,141,59,-13,115
12512,志比内　　　　　　　,43.643,142.582,310,28,-44,-32,15,93,172,214,250,252,208,136,53,-18,109
12551,美瑛　　　　　　　　,43.588,142.493,250,30,-39,-26,20,102,180,223,257,258,213,142,56,-16,114
12596,上富良野　　　　　　,43.455,142.465,220,30,-35,-22,26,107,183,228,263,264,219,147,62,-11,119
12626,富良野　　　　　　　,43.333,142.4,174,30,-37,-23,27,109,184,229,262,263,219,149,64,-12,120
12632,麓郷　　　　　　　　,43.302,142.522,315,30,-37,-26,19,97,173,218,251,253,209,139,55,-15,111
12691,幾寅　　　　　　　　,43.168,142.568,350,30,-37,-26,17,89,164,207,241,243,202,136,56,-13,106
12746,占冠　　　　　　　　,42.978,142.395,332,30,-34,-23,20,92,167,210,243,247,206,138,57,-13,109
13061,天塩　　　　　　　　,44.893,141.762,9,30,-23,-18,19,81,140,183,223,236,208,144,67,3,105
13086,遠別　　　　　　　　,44.718,141.807,7,30,-22,-15,24,88,152,195,235,246,215,149,69,3,112
13121,初山別　　　　　　　,44.523,141.77,27,30,-15,-10,27,89,150,189,228,242,212,149,74,10,112
13146,焼尻　　　　　　　　,44.428,141.422,38,30,-13,-9,26,82,133,175,215,234,209,149,75,11,107
13181,羽幌　　　　　　　　,44.363,141.7,8,30,-13,-7,31,94,154,193,231,247,216,152,75,10,115
13261,達布　　　　　　　　,44.048,141.857,30,30,-20,-11,31,97,173,218,255,260,220,151,66,-1,120
13277,留萌　　　　　　　　,43.945,141.632,24,30,-10,-4,32,94,154,192,231,246,214,152,78,13,116
13311,増毛　　　　　　　　,43.848,141.51,20,30,-7,-2,35,99,156,190,230,247,216,155,81,17,118
13321,幌糠　　　　　　　　,43.853,141.76,20,30,-22,-12,28,94,172,213,249,257,218,150,66,-2,118
14026,浜益　　　　　　　　,43.582,141.387,3,30,-3,1,36,101,161,202,240,254,221,157,84,20,123
14071,厚田　　　　　　　　,43.397,141.437,5,30,-5,0,35,103,166,208,245,256,223,158,81,17,124
14101,新篠津　　　　　　　,43.22,141.645,9,30,-23,-12,28,103,170,210,246,257,222,155,74,1,119
14116,山口　　　　　　　　,43.148,141.222,5,30,-4,2,40,113,177,215,251,263,229,165,88,19,130
14121,石狩　　　　　　　　,43.193,141.37,5,30,-12,-4,34,106,168,207,243,255,221,157,81,13,123
14136,江別　　　　　　　　,43.11,141.602,8,21,-22,-11,30,106,169,209,243,258,225,157,78,3,121
14163,札幌　　　　　　　　,43.06,141.328,17,30,-4,4,45,117,179,218,254,264,228,164,87,20,131
14206,恵庭島松　　　　　　,42.927,141.565,30,30,-15,-6,34,107,167,202,237,251,219,157,81,10,120
14286,支笏湖畔　　　　　　,42.772,141.407,290,30,-19,-12,24,87,152,187,220,232,200,142,70,4,107
14296,千歳　　　　　　　　,42.775,141.692,22,18,-11,-3,41,110,166,200,230,251,225,161,89,17,123
15041,朱鞠内　　　　　　　,44.282,142.162,255,30,-44,-34,10,75,154,205,239,242,199,129,42,-24,99
15076,幌加内　　　　　　　,44.01,142.16,159,30,-39,-27,17,84,167,217,252,254,210,139,52,-17,109
15116,石狩沼田　　　　　　,43.815,141.927,63,30,-34,-22,21,93,175,221,255,261,220,148,59,-12,115
15161,深川　　　　　　　　,43.718,142.073,55,30,-32,-20,23,101,176,218,252,258,218,150,65,-9,117
15231,空知吉野　　　　　　,43.595,141.732,100,30,-26,-15,28,97,176,220,256,259,218,149,65,-5,119
15241,滝川　　　　　　　　,43.57,141.938,50,30,-31,-19,24,102,177,219,254,260,220,150,66,-7,118
15251,芦別　　　　　　　　,43.52,142.19,91,30,-19,-7,38,114,188,230,265,269,226,155,71,1,128
15311,月形　　　　　　　　,43.33,141.617,50,30,-22,-11,29,99,169,211,246,256,221,153,71,1,119
15321,美唄　　　　　　　　,43.363,141.827,16,30,-26,-14,29,108,179,220,256,263,226,156,72,-3,122
15356,岩見沢　　　　　　　,43.212,141.785,42,30,-19,-9,35,112,177,217,251,261,224,157,76,5,124
15431,長沼　　　　　　　　,43.012,141.693,13,30,-19,-9,34,107,167,206,241,255,223,158,80,7,121
15442,夕張　　　　　　　　,43.038,141.957,293,30,-27,-17,24,99,170,206,237,244,207,141,63,-6,111
16026,美国　　　　　　　　,43.272,140.563,75,30,-12,-5,33,97,166,203,239,253,219,154,75,8,119
16061,神恵内　　　　　　　,43.145,140.423,50,30,0,5,42,100,156,196,236,254,225,161,88,23,124
16076,余市　　　　　　　　,43.182,140.758,20,30,-5,2,40,108,173,212,248,260,224,159,82,15,126
16091,小樽　　　　　　　　,43.182,141.015,25,30,-5,2,41,109,169,204,242,256,223,159,83,16,125
16156,共和　　　　　　　　,42.98,140.603,15,30,-5,1,38,106,165,205,245,259,225,158,84,18,125
16206,蘭越　　　　　　　　,42.81,140.542,39,30,-8,0,39,106,173,213,247,259,224,158,79,12,125
16217,倶知安　　　　　　　,42.9,140.757,176,30,-20,-10,30,98,169,209,244,254,217,150,69,0,118
16252,寿都　　　　　　　　,42.795,140.223,33,30,-2,3,39,102,157,192,230,246,216,156,84,20,120
16281,真狩　　　　　　　　,42.775,140.88,440,30,-39,-30,9,72,150,192,225,234,198,130,51,-17,98
16286,喜茂別　　　　　　　,42.793,140.948,264,30,-27,-17,22,88,165,207,241,249,210,143,63,-6,112
16321,黒松内　　　　　　　,42.663,140.31,27,30,-6,1,39,103,163,198,234,250,221,158,82,15,122
17036,雄武　　　　　　　　,44.58,142.963,14,30,-25,-21,21,86,138,162,201,225,205,146,67,0,100
17076,興部　　　　　　　　,44.47,143.108,8,30,-23,-19,22,89,144,173,210,231,208,148,69,2,105
17091,西興部　　　　　　　,44.332,142.935,120,30,-31,-22,23,95,165,201,234,244,209,143,60,-9,109
17112,紋別　　　　　　　　,44.345,143.355,16,30,-23,-20,23,90,142,167,206,229,207,149,72,3,104
17116,紋別小向　　　　　　,44.303,143.403,18,18,-25,-22,23,90,146,173,210,234,212,151,75,6,106
17166,湧別　　　　　　　　,44.213,143.618,5,30,-25,-23,19,93,150,180,219,237,212,152,73,1,107
17196,滝上　　　　　　　　,44.177,143.062,165,30,-32,-23,23,100,173,211,245,250,212,144,60,-10,113
17246,常呂　　　　　　　　,44.115,144.037,3,30,-24,-23,19,92,152,185,223,241,211,151,75,4,109
17306,遠軽　　　　　　　　,44.053,143.54,80,30,-23,-16,30,106,173,206,242,252,217,154,75,2,119
17316,佐呂間　　　　　　　,44.018,143.76,54,30,-26,-20,25,102,169,202,239,249,216,153,75,1,115
17341,網走　　　　　　　　,44.017,144.278,38,30,-22,-20,23,91,146,177,214,233,207,150,76,7,107
17351,宇登呂　　　　　　　,44.052,144.982,144,30,-27,-27,14,83,148,183,220,233,202,144,73,5,104
17482,白滝　　　　　　　　,43.865,143.153,475,28,-50,-38,8,83,161,201,236,237,194,126,44,-26,99
17501,生田原　　　　　　　,43.917,143.532,199,30,-30,-20,25,101,173,210,243,249,211,148,67,-6,114
17521,北見　　　　　　　　,43.777,143.842,104,30,-26,-16,33,111,178,213,246,254,217,155,76,0,120
17531,女満別　　　　　　　,43.88,144.163,33,18,-29,-21,30,104,169,207,238,253,219,155,79,5,117
17546,小清水　　　　　　　,43.842,144.485,52,30,-22,-20,24,97,160,196,231,246,214,154,79,7,114
17561,斜里　　　　　　　　,43.885,144.7,15,30,-22,-21,21,92,156,191,226,243,212,153,78,7,111
17596,留辺蘂　　　　　　　,43.742,143.45,325,30,-41,-30,18,97,170,208,241,245,206,141,59,-16,108
17607,境野　　　　　　　　,43.707,143.643,184,30,-33,-23,25,104,172,208,241,248,211,148,69,-6,114
17631,美幌　　　　　　　　,43.77,144.172,60,30,-27,-19,27,102,169,204,238,249,216,154,77,2,116
17717,津別　　　　　　　　,43.702,144.033,100,30,-23,-15,32,108,175,212,246,254,217,156,78,5,120
18038,羅臼　　　　　　　　,44.023,145.187,15,16,-18,-18,20,69,122,152,189,213,195,141,75,14,96
18136,標津　　　　　　　　,43.662,145.132,3,30,-14,-14,22,80,129,157,192,219,204,153,83,14,102
18161,上標津　　　　　　　,43.52,144.747,160,18,-28,-23,20,83,152,184,219,235,206,146,75,4,106
18171,中標津　　　　　　　,43.543,144.978,50,30,-16,-13,25,91,150,180,214,229,206,152,81,11,109
18174,根室中標津　　　　　,43.577,144.96,65,18,-20,-16,26,89,155,185,214,233,209,153,83,12,110
18256,別海　　　　　　　　,43.382,145.118,23,30,-12,-9,30,93,149,178,212,228,207,155,87,16,111
18273,根室　　　　　　　　,43.33,145.585,25,30,-9,-12,22,74,119,149,187,209,194,147,86,21,99
18281,納沙布　　　　　　　,43.393,145.758,12,30,-7,-12,18,67,109,138,178,204,194,148,89,24,96
18311,厚床　　　　　　　　,43.222,145.227,41,30,-11,-10,26,83,133,163,200,219,200,151,86,17,105
19021,川湯　　　　　　　　,43.617,144.457,158,30,-29,-23,22,88,155,188,219,231,200,144,71,0,106
19051,弟子屈　　　　　　　,43.51,144.467,170,30,-31,-27,14,82,146,178,212,224,196,141,69,-2,100
19076,阿寒湖畔　　　　　　,43.437,144.083,426,30,-42,-31,14,81,151,189,223,228,190,132,58,-14,98
19151,標茶　　　　　　　　,43.292,144.587,20,30,-14,-9,32,98,156,188,220,235,208,155,85,13,114
19191,鶴居　　　　　　　　,43.232,144.325,38,30,-8,-3,38,101,158,189,222,237,211,157,87,18,117
19261,中徹別　　　　　　　,43.198,144.142,80,30,-8,-2,39,107,166,197,230,243,213,160,89,17,121
19311,榊町　　　　　　　　,43.12,145.11,2,30,-8,-8,28,81,125,151,186,211,199,153,90,22,103
19347,鶴丘　　　　　　　　,43.04,144.192,95,18,-11,-8,32,87,141,170,204,225,203,151,85,18,108
19376,太田　　　　　　　　,43.09,144.778,85,30,-15,-12,26,84,135,165,202,220,199,147,82,14,104
19416,白糠　　　　　　　　,42.97,144.062,9,30,-3,-2,34,88,134,163,200,219,202,153,88,23,108
19432,釧路　　　　　　　　,42.985,144.377,5,30,-2,-1,33,80,126,158,196,215,201,151,89,25,106
19451,知方学　　　　　　　,42.938,144.735,149,30,-16,-17,13,61,109,141,180,199,181,134,76,15,90
20146,陸別　　　　　　　　,43.472,143.753,210,30,-25,-14,32,105,171,206,237,244,208,147,71,-2,115
20186,ぬかびら源泉郷　　　,43.367,143.192,540,30,-41,-31,13,84,156,192,223,227,190,128,50,-19,98
20266,上士幌　　　　　　　,43.242,143.295,287,30,-29,-20,26,101,165,199,229,239,204,142,66,-5,110
20276,足寄　　　　　　　　,43.243,143.553,90,30,-14,-1,46,119,182,217,247,256,220,159,82,8,127
20341,本別　　　　　　　　,43.132,143.6,67,30,-15,-3,45,119,180,214,245,254,219,158,82,7,126
20356,新得　　　　　　　　,43.077,142.84,178,30,-22,-14,32,106,172,207,237,247,210,147,72,2,116
20361,鹿追　　　　　　　　,43.103,142.995,206,30,-25,-17,29,104,169,204,233,243,208,145,69,-2,113
20371,駒場　　　　　　　　,43.05,143.183,112,30,-23,-12,36,112,174,207,238,249,214,152,75,2,119
20421,芽室　　　　　　　　,42.9,143.043,90,30,-22,-11,37,114,177,211,241,251,216,154,78,4,121
20432,帯広　　　　　　　　,42.922,143.212,38,30,-15,-2,48,122,182,213,243,254,220,159,84,10,127
20441,池田　　　　　　　　,42.92,143.458,42,30,-20,-7,42,115,172,203,235,248,219,158,83,6,121
20506,浦幌　　　　　　　　,42.808,143.657,20,30,-8,1,45,108,161,191,225,241,216,160,89,16,120
20551,帯広泉　　　　　　　,42.733,143.217,149,18,-30,-19,31,102,172,201,229,245,212,151,77,0,114
20556,糠内　　　　　　　　,42.787,143.328,70,30,-18,-7,40,115,174,205,237,248,216,159,84,6,121
20601,上札内　　　　　　　,42.642,143.097,251,30,-29,-21,22,94,158,190,222,232,201,142,70,-3,106
20606,更別　　　　　　　　,42.652,143.195,185,30,-27,-17,29,103,165,194,227,240,208,150,75,-1,112
20631,大津　　　　　　　　,42.687,143.647,4,30,-11,-4,33,89,129,156,195,216,202,154,89,15,105
20696,大樹　　　　　　　　,42.5,143.273,87,30,-18,-10,33,101,158,183,217,233,208,154,85,10,113
20751,広尾　　　　　　　　,42.293,143.317,32,30,-3,0,40,99,146,165,201,221,203,155,94,26,112
21111,厚真　　　　　　　　,42.73,141.888,20,30,-8,-1,40,110,166,201,234,251,223,161,86,15,123
21126,穂別　　　　　　　　,42.762,142.143,56,30,-9,1,41,114,177,213,245,257,224,160,82,12,126
21161,大滝　　　　　　　　,42.67,141.078,390,30,-31,-21,20,88,161,202,234,242,204,137,58,-11,107
21171,森野　　　　　　　　,42.63,141.247,170,30,-11,-4,33,96,157,188,221,237,211,152,77,10,114
21187,苫小牧　　　　　　　,42.623,141.547,6,30,5,9,44,96,141,173,210,234,217,162,92,28,118
21226,大岸　　　　　　　　,42.59,140.643,4,30,1,6,43,103,155,190,228,247,223,164,89,21,123
21261,白老　　　　　　　　,42.543,141.352,6,30,5,9,43,95,139,172,210,233,216,161,92,27,117
21276,鵡川　　　　　　　　,42.59,141.933,10,30,-7,0,39,101,154,188,224,243,220,161,88,19,119
21297,伊達　　　　　　　　,42.475,140.848,3,13,1,9,53,108,162,198,238,254,228,164,92,27,128
21312,登別　　　　　　　　,42.458,141.118,197,30,-12,-6,30,93,150,183,217,233,209,150,78,10,111
21323,室蘭　　　　　　　　,42.312,140.975,40,30,6,10,46,101,149,180,216,236,215,161,93,29,120
22036,日高　　　　　　　　,42.877,142.442,280,30,-25,-14,30,103,175,216,248,255,215,146,66,-3,117
22141,日高門別　　　　　　,42.497,142.053,47,30,0,6,43,99,150,184,221,241,218,160,91,25,120
22156,新和　　　　　　　　,42.543,142.333,60,30,-1,7,48,117,179,214,248,260,228,164,89,19,131
22241,静内　　　　　　　　,42.343,142.362,10,30,7,12,48,99,150,183,220,240,220,163,97,31,122
22291,三石　　　　　　　　,42.245,142.662,10,30,4,8,45,103,154,188,224,243,220,163,95,29,123
22306,中杵臼　　　　　　　,42.223,142.948,98,30,-5,2,39,108,167,204,238,250,217,157,87,18,124
22327,浦河　　　　　　　　,42.162,142.777,37,30,9,12,44,89,135,169,207,230,214,162,98,36,117
22391,えりも岬　　　　　　,41.925,143.243,63,30,2,-2,22,61,101,136,175,199,190,147,93,33,97
23031,長万部　　　　　　　,42.517,140.373,6,30,-2,4,40,99,149,183,221,242,220,161,87,20,119
23086,八雲　　　　　　　　,42.252,140.272,8,30,-1,7,45,101,150,185,224,247,224,163,90,21,121
