番号,地点名,緯度,経度,標高,年数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,通年
11001,宗谷岬　　　　　　　,45.52,141.935,26,30,-66,-71,-37,8,51,92,137,162,134,76,10,-44,38
11016,稚内　　　　　　　　,45.415,141.678,3,30,-64,-67,-31,18,63,104,149,172,144,84,13,-42,45
11046,礼文　　　　　　　　,45.305,141.045,65,18,-65,-64,-24,18,60,103,149,173,145,84,12,-45,45
11061,声問　　　　　　　　,45.403,141.802,8,18,-96,-106,-59,-10,40,87,132,151,103,42,-9,-62,18
11076,浜鬼志別　　　　　　,45.335,142.17,13,30,-98,-109,-65,-5,44,85,131,152,108,45,-15,-70,17
11091,本泊　　　　　　　　,45.242,141.187,30,18,-68,-73,-35,7,55,99,143,165,132,71,6,-46,38
11121,沼川　　　　　　　　,45.248,141.852,23,30,-123,-134,-81,-12,38,83,130,144,89,29,-22,-82,5
11151,沓形　　　　　　　　,45.178,141.138,14,30,-64,-65,-32,14,61,104,149,166,135,80,12,-42,43
11176,豊富　　　　　　　　,45.102,141.78,14,30,-107,-114,-65,-1,50,96,141,156,111,49,-9,-70,20
11206,浜頓別　　　　　　　,45.125,142.35,18,30,-103,-111,-61,1,49,90,137,157,117,53,-10,-72,21
11276,中頓別　　　　　　　,44.965,142.28,25,30,-154,-167,-101,-19,36,84,133,145,93,27,-28,-109,-5
11291,北見枝幸　　　　　　,44.94,142.585,7,30,-86,-92,-49,8,55,95,140,163,128,63,-2,-61,30
11316,歌登　　　　　　　　,44.842,142.48,14,30,-150,-161,-93,-19,34,82,131,145,94,27,-26,-103,-3
12011,中川　　　　　　　　,44.828,142.077,22,30,-134,-141,-83,-16,38,86,134,147,94,32,-18,-87,5
12041,音威子府　　　　　　,44.727,142.265,40,30,-139,-145,-84,-13,43,92,140,152,105,41,-17,-88,7
12141,美深　　　　　　　　,44.48,142.342,77,30,-147,-150,-90,-16,43,96,145,155,103,34,-24,-100,4
12181,名寄　　　　　　　　,44.37,142.457,89,30,-147,-149,-91,-17,41,96,144,151,99,31,-23,-101,3
12231,下川　　　　　　　　,44.295,142.637,143,30,-157,-158,-98,-24,33,88,138,147,91,24,-27,-107,-4
12261,士別　　　　　　　　,44.187,142.417,135,30,-145,-142,-85,-9,52,105,150,157,106,40,-19,-99,9
12266,朝日　　　　　　　　,44.118,142.595,225,30,-132,-133,-85,-16,45,101,148,154,100,34,-23,-93,8
12301,和寒　　　　　　　　,44.028,142.41,150,30,-142,-141,-84,-8,55,109,153,159,108,42,-17,-93,12
12386,江丹別　　　　　　　,43.87,142.26,140,30,-163,-163,-105,-29,35,96,146,151,97,26,-31,-110,-4
12396,比布　　　　　　　　,43.87,142.47,164,30,-136,-132,-80,-10,57,113,157,160,107,38,-21,-95,13
12411,上川　　　　　　　　,43.847,142.753,324,30,-138,-138,-90,-24,36,94,143,145,89,22,-32,-99,1
12442,旭川　　　　　　　　,43.757,142.372,120,30,-117,-118,-61,2,61,120,164,169,117,44,-15,-80,24
12451,東川　　　　　　　　,43.702,142.508,215,30,-133,-128,-76,-6,59,114,158,161,108,40,-19,-92,15
12501,東神楽　　　　　　　,43.67,142.447,211,18,-137,-133,-75,-10,51,109,152,160,106,34,-23,-97,11
12512,志比内　　　　　　　,43.643,142.582,310,28,-135,-132,-83,-14,47,101,149,154,103,36,-25,-96,9
12551,美瑛　　　　　　　　,43.588,142.493,250,30,-148,-147,-91,-13,47,100,147,152,98,30,-29,-108,3
12596,上富良野　　　　　　,43.455,142.465,220,30,-136,-134,-78,-5,59,115,160,164,111,39,-22,-98,15
12626,富良野　　　　　　　,43.333,142.4,174,30,-144,-140,-78,-2,60,115,160,163,111,41,-21,-102,14
12632,麓郷　　　　　　　　,43.302,142.522,315,30,-147,-145,-90,-16,44,98,147,152,100,27,-33,-109,2
12691,幾寅　　　　　　　　,43.168,142.568,350,30,-146,-144,-86,-16,42,96,144,149,99,27,-28,-103,3
12746,占冠　　　　　　　　,42.978,142.395,332,30,-180,-177,-110,-30,32,93,145,150,98,22,-40,-124,-10
13061,天塩　　　　　　　　,44.893,141.762,9,30,-99,-108,-61,-4,46,91,140,152,107,53,-1,-61,21
