番号,地点名,緯度,経度,標高,年数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,通年
11001,宗谷岬　　　　　　　,45.52,141.935,26,30,86,80,80,75,72,65,61,60,66,78,90,93,76
11016,稚内　　　　　　　　,45.415,141.678,3,30,50,47,47,48,47,42,39,40,42,46,50,50,46
11046,礼文　　　　　　　　,45.305,141.045,65,18,28,31,36,38,41,38,35,35,34,35,34,32,35
11061,声問　　　　　　　　,45.403,141.802,8,18,70,68,66,61,59,51,47,47,50,61,70,75,60
11076,浜鬼志別　　　　　　,45.335,142.17,13,30,53,51,54,53,51,46,42,44,46,47,48,51,49
11091,本泊　　　　　　　　,45.242,141.187,30,18,64,65,67,68,70,61,56,56,56,65,69,69,64
11121,沼川　　　　　　　　,45.248,141.852,23,30,20,21,26,30,30,27,25,23,21,23,24,22,24
11151,沓形　　　　　　　　,45.178,141.138,14,30,46,44,42,37,33,29,26,27,33,43,48,48,38
11176,豊富　　　　　　　　,45.102,141.78,14,30,27,28,30,31,30,26,25,24,25,29,31,31,28
11206,浜頓別　　　　　　　,45.125,142.35,18,30,24,24,26,27,26,21,19,20,22,24,26,25,24
11276,中頓別　　　　　　　,44.965,142.28,25,30,15,17,23,24,25,21,18,17,16,19,19,17,20
11291,北見枝幸　　　　　　,44.94,142.585,7,30,38,39,41,41,42,29,30,34,37,41,40,40,38
11316,歌登　　　　　　　　,44.842,142.48,14,30,13,14,19,20,22,19,18,16,16,17,17,15,17
12041,音威子府　　　　　　,44.727,142.265,40,30,17,18,23,23,23,21,19,18,18,20,22,19,20
12141,美深　　　　　　　　,44.48,142.342,77,30,11,13,19,19,19,15,14,14,14,16,16,13,15
12181,名寄　　　　　　　　,44.37,142.457,89,30,16,18,23,23,24,19,17,16,16,19,22,19,20
12231,下川　　　　　　　　,44.295,142.637,143,30,22,25,29,28,27,22,20,19,19,23,29,27,25
12261,士別　　　　　　　　,44.187,142.417,135,30,15,17,20,20,19,16,14,14,13,15,17,16,16
12266,朝日　　　　　　　　,44.118,142.595,225,30,15,17,20,19,19,15,14,13,13,16,19,18,16
12301,和寒　　　　　　　　,44.028,142.41,150,30,15,16,19,20,21,18,16,15,15,18,19,17,17
12396,比布　　　　　　　　,43.87,142.47,164,30,17,19,22,23,23,19,17,16,16,18,21,19,19
12411,上川　　　　　　　　,43.847,142.753,324,30,20,22,26,24,25,21,18,17,18,20,24,24,22
12442,旭川　　　　　　　　,43.757,142.372,120,30,27,31,34,34,37,29,28,26,25,29,34,31,30
12451,東川　　　　　　　　,43.702,142.508,215,30,17,18,21,23,22,18,16,15,16,18,20,18,18
12501,東神楽　　　　　　　,43.67,142.447,211,18,32,35,39,40,38,31,30,30,30,35,36,36,34
12512,志比内　　　　　　　,43.643,142.582,310,28,18,19,21,22,21,16,14,14,15,19,19,18,18
12551,美瑛　　　　　　　　,43.588,142.493,250,30,15,16,19,20,19,15,14,14,14,15,18,16,16
12596,上富良野　　　　　　,43.455,142.465,220,30,15,16,20,24,25,22,20,19,18,17,17,15,19
12626,富良野　　　　　　　,43.333,142.4,174,30,13,15,19,23,24,20,18,17,17,17,17,15,18
12632,麓郷　　　　　　　　,43.302,142.522,315,30,11,13,17,20,22,18,17,16,15,14,13,12,16
12691,幾寅　　　　　　　　,43.168,142.568,350,30,19,21,23,23,21,18,16,15,15,17,21,21,19
12746,占冠　　　　　　　　,42.978,142.395,332,30,15,16,19,18,20,18,16,15,15,15,16,16,17
13061,天塩　　　　　　　　,44.893,141.762,9,30,43,42,46,46,42,36,34,34,37,46,51,49,42
13086,遠別　　　　　　　　,44.718,141.807,7,30,42,41,42,37,33,26,23,24,30,39,48,50,36
13121,初山別　　　　　　　,44.523,141.77,27,30,45,44,43,37,31,24,23,25,31,42,51,53,37
13146,焼尻　　　　　　　　,44.428,141.422,38,30,65,64,62,53,45,36,35,37,46,61,70,70,54
13181,羽幌　　　　　　　　,44.363,141.7,8,30,47,49,47,43,37,31,28,31,38,47,55,58,43
13277,留萌　　　　　　　　,43.945,141.632,24,30,62,59,55,49,43,36,35,39,46,57,65,68,51
13311,増毛　　　　　　　　,43.848,141.51,20,30,46,45,42,34,28,19,17,19,26,39,49,53,35
13321,幌糠　　　　　　　　,43.853,141.76,20,30,17,19,21,21,22,18,17,15,14,16,19,18,18
14026,浜益　　　　　　　　,43.582,141.387,3,30,52,49,46,40,36,31,29,29,34,44,55,59,42
14071,厚田　　　　　　　　,43.397,141.437,5,30,43,42,39,37,34,29,27,25,27,33,42,46,35
14101,新篠津　　　　　　　,43.22,141.645,9,30,30,31,33,35,36,32,30,27,25,27,33,33,31
14116,山口　　　　　　　　,43.148,141.222,5,30,30,30,30,30,27,21,19,18,19,22,27,29,25
14121,石狩　　　　　　　　,43.193,141.37,5,30,36,35,34,33,29,24,22,21,21,25,33,37,29
14136,江別　　　　　　　　,43.11,141.602,8,21,29,33,35,41,44,41,40,34,28,28,32,32,35
14163,札幌　　　　　　　　,43.06,141.328,17,30,33,34,38,42,42,37,36,35,32,34,34,32,36
14206,恵庭島松　　　　　　,42.927,141.565,30,30,19,21,25,31,28,23,21,19,17,18,21,18,22
14286,支笏湖畔　　　　　　,42.772,141.407,290,30,16,16,16,15,12,8,7,7,8,11,16,16,12
14296,千歳　　　　　　　　,42.775,141.692,22,18,34,37,43,50,51,46,44,40,38,38,37,34,41
15076,幌加内　　　　　　　,44.01,142.16,159,30,17,19,22,21,22,20,17,17,17,19,21,20,19
15116,石狩沼田　　　　　　,43.815,141.927,63,30,16,18,21,22,24,19,16,14,14,16,20,19,18
15161,深川　　　　　　　　,43.718,142.073,55,30,30,31,34,34,35,30,26,25,26,30,32,33,31
15241,滝川　　　　　　　　,43.57,141.938,50,30,24,25,29,31,31,27,24,22,21,23,26,25,26
15251,芦別　　　　　　　　,43.52,142.19,91,30,16,18,22,23,25,22,20,19,19,20,18,16,20
15311,月形　　　　　　　　,43.33,141.617,50,30,17,18,21,23,24,21,20,17,15,17,20,19,19
15321,美唄　　　　　　　　,43.363,141.827,16,30,25,26,28,29,31,27,25,23,23,25,27,27,26
15356,岩見沢　　　　　　　,43.212,141.785,42,30,32,33,35,38,37,33,33,32,31,32,35,33,34
15431,長沼　　　　　　　　,43.012,141.693,13,30,17,20,24,30,30,28,26,23,21,20,21,18,23
15442,夕張　　　　　　　　,43.038,141.957,293,30,23,24,24,24,22,16,14,14,17,21,23,23,21
16026,美国　　　　　　　　,43.272,140.563,75,30,15,16,21,22,21,14,13,12,13,15,16,15,16
16061,神恵内　　　　　　　,43.145,140.423,50,30,42,40,36,27,22,19,18,20,26,34,42,47,31
16076,余市　　　　　　　　,43.182,140.758,20,30,22,25,29,31,27,19,18,18,19,21,22,21,23
16091,小樽　　　　　　　　,43.182,141.015,25,30,33,33,32,28,24,20,19,20,24,28,32,35,27
16156,共和　　　　　　　　,42.98,140.603,15,30,46,44,41,37,31,24,21,22,26,32,42,48,34
16206,蘭越　　　　　　　　,42.81,140.542,39,30,22,22,22,19,19,17,14,14,14,16,21,23,19
16217,倶知安　　　　　　　,42.9,140.757,176,30,29,31,33,33,35,33,31,28,26,28,31,30,31
16252,寿都　　　　　　　　,42.795,140.223,33,30,44,46,43,45,43,43,38,35,36,38,41,46,42
16281,真狩　　　　　　　　,42.775,140.88,440,30,20,21,23,23,21,16,15,14,15,18,21,20,19
16286,喜茂別　　　　　　　,42.793,140.948,264,30,19,20,21,20,17,12,11,10,11,14,19,19,16
16321,黒松内　　　　　　　,42.663,140.31,27,30,22,23,24,24,25,23,22,19,18,18,20,21,21
17036,雄武　　　　　　　　,44.58,142.963,14,30,37,36,36,38,33,25,23,26,32,36,36,36,33
17076,興部　　　　　　　　,44.47,143.108,8,30,20,20,24,26,23,18,16,17,19,21,22,21,21
17091,西興部　　　　　　　,44.332,142.935,120,30,17,19,22,23,23,19,17,15,15,18,21,20,19
17112,紋別　　　　　　　　,44.345,143.355,16,30,34,30,33,33,25,21,19,21,27,31,31,33,28
17116,紋別小向　　　　　　,44.303,143.403,18,18,43,40,42,42,35,26,24,25,31,39,39,42,36
17166,湧別　　　　　　　　,44.213,143.618,5,30,41,38,38,38,35,28,24,24,30,37,37,39,35
17196,滝上　　　　　　　　,44.177,143.062,165,30,14,16,20,20,20,16,14,13,13,16,18,17,16
17246,常呂　　　　　　　　,44.115,144.037,3,30,37,32,34,35,33,25,22,23,26,32,36,38,31
17306,遠軽　　　　　　　　,44.053,143.54,80,30,14,14,17,19,19,15,14,12,13,15,16,14,15
17316,佐呂間　　　　　　　,44.018,143.76,54,30,21,23,26,29,28,22,19,19,20,23,24,22,23
17341,網走　　　　　　　　,44.017,144.278,38,30,39,35,36,35,31,25,24,26,30,35,36,38,33
17351,宇登呂　　　　　　　,44.052,144.982,144,30,24,19,20,19,16,10,8,9,13,18,24,26,17
17482,白滝　　　　　　　　,43.865,143.153,475,28,22,23,27,26,26,23,22,19,18,22,25,24,23
17501,生田原　　　　　　　,43.917,143.532,199,30,21,22,25,26,25,20,17,16,18,20,21,21,22
17521,北見　　　　　　　　,43.777,143.842,104,30,18,19,22,25,24,20,18,18,18,19,19,18,20
17531,女満別　　　　　　　,43.88,144.163,33,18,32,32,35,40,41,35,34,31,31,32,30,30,34
17546,小清水　　　　　　　,43.842,144.485,52,30,25,25,27,30,29,24,23,22,22,24,24,25,25
17561,斜里　　　　　　　　,43.885,144.7,15,30,27,25,26,27,24,17,14,15,17,21,26,27,22
17596,留辺蘂　　　　　　　,43.742,143.45,325,30,22,22,24,27,26,21,18,17,19,22,21,21,22
17607,境野　　　　　　　　,43.707,143.643,184,30,24,24,25,28,26,20,18,18,20,24,24,24,23
17631,美幌　　　　　　　　,43.77,144.172,60,30,17,19,22,25,23,17,16,15,15,16,18,17,18
17717,津別　　　　　　　　,43.702,144.033,100,30,16,18,22,25,24,21,19,18,17,19,19,17,20
18038,羅臼　　　　　　　　,44.023,145.187,15,16,32,30,26,25,24,20,18,19,25,30,31,31,26
18136,標津　　　　　　　　,43.662,145.132,3,30,30,30,30,31,31,27,24,25,27,28,29,29,28
18161,上標津　　　　　　　,43.52,144.747,160,18,32,32,31,32,31,22,20,20,23,26,28,29,27
18171,中標津　　　　　　　,43.543,144.978,50,30,21,22,25,27,28,23,21,21,20,22,23,22,23
18174,根室中標津　　　　　,43.577,144.96,65,18,31,32,34,36,37,31,28,28,29,31,31,32,32
18256,別海　　　　　　　　,43.382,145.118,23,30,21,22,23,25,25,21,18,18,18,19,21,21,21
18273,根室　　　　　　　　,43.33,145.585,25,30,60,57,56,55,52,44,40,43,48,56,61,61,53
18281,納沙布　　　　　　　,43.393,145.758,12,30,56,52,49,48,47,41,37,38,44,49,52,55,47
18311,厚床　　　　　　　　,43.222,145.227,41,30,23,24,28,30,30,24,20,21,21,24,27,24,25
19021,川湯　　　　　　　　,43.617,144.457,158,30,15,16,18,18,18,14,12,11,11,13,14,14,15
19051,弟子屈　　　　　　　,43.51,144.467,170,30,37,38,39,38,39,32,30,29,30,32,33,33,34
19076,阿寒湖畔　　　　　　,43.437,144.083,426,30,9,11,13,14,13,9,8,8,8,10,12,11,10
19151,標茶　　　　　　　　,43.292,144.587,20,30,17,18,21,22,23,19,16,15,15,15,17,16,18
19191,鶴居　　　　　　　　,43.232,144.325,38,30,17,18,19,20,20,16,13,13,15,17,18,16,17
19261,中徹別　　　　　　　,43.198,144.142,80,30,14,14,16,16,14,10,8,7,8,10,14,13,12
19311,榊町　　　　　　　　,43.12,145.11,2,30,36,36,37,36,34,29,26,27,32,36,36,35,33
19347,鶴丘　　　　　　　　,43.04,144.192,95,18,36,37,39,38,37,31,28,29,32,36,36,36,34
19376,太田　　　　　　　　,43.09,144.778,85,30,28,29,32,34,33,27,24,24,26,28,30,27,29
19416,白糠　　　　　　　　,42.97,144.062,9,30,24,25,26,25,22,18,16,16,19,23,25,24,22
19432,釧路　　　　　　　　,42.985,144.377,5,30,54,55,58,52,47,39,35,39,45,52,59,59,50
19451,知方学　　　　　　　,42.938,144.735,149,30,34,36,39,38,38,32,29,30,33,38,39,35,35
20146,陸別　　　　　　　　,43.472,143.753,210,30,12,15,18,20,20,17,15,15,14,15,15,12,16
20186,ぬかびら源泉郷　　　,43.367,143.192,540,30,6,8,9,10,9,5,4,4,4,6,8,7,7
20266,上士幌　　　　　　　,43.242,143.295,287,30,19,19,20,20,18,12,11,11,13,16,20,21,17
20276,足寄　　　　　　　　,43.243,143.553,90,30,14,15,19,20,19,16,15,14,14,15,17,15,16
20341,本別　　　　　　　　,43.132,143.6,67,30,11,13,17,18,17,14,12,12,12,13,15,13,14
20356,新得　　　　　　　　,43.077,142.84,178,30,19,20,21,20,18,15,13,12,13,16,20,21,17
20361,鹿追　　　　　　　　,43.103,142.995,206,30,25,25,26,27,22,17,15,14,16,21,26,27,22
20371,駒場　　　　　　　　,43.05,143.183,112,30,23,23,24,26,22,17,15,15,16,19,24,25,21
20421,芽室　　　　　　　　,42.9,143.043,90,30,13,14,15,16,14,11,10,9,10,12,14,14,13
20432,帯広　　　　　　　　,42.922,143.212,38,30,24,25,27,27,23,19,16,16,18,21,25,25,22
20441,池田　　　　　　　　,42.92,143.458,42,30,20,21,23,25,25,21,19,17,18,19,22,20,21
20506,浦幌　　　　　　　　,42.808,143.657,20,30,17,18,20,21,19,16,14,14,16,17,18,17,17
20551,帯広泉　　　　　　　,42.733,143.217,149,18,20,22,24,28,26,22,21,20,19,21,21,19,22
20556,糠内　　　　　　　　,42.787,143.328,70,30,12,14,16,18,15,12,10,9,10,12,14,13,13
20601,上札内　　　　　　　,42.642,143.097,251,30,19,20,21,24,23,18,16,16,16,20,21,20,20
20606,更別　　　　　　　　,42.652,143.195,185,30,15,16,17,21,20,16,15,15,14,15,16,15,16
20631,大津　　　　　　　　,42.687,143.647,4,30,26,25,27,27,23,18,16,17,21,25,26,25,23
20696,大樹　　　　　　　　,42.5,143.273,87,30,28,28,27,27,24,19,18,18,21,24,26,27,24
20751,広尾　　　　　　　　,42.293,143.317,32,30,31,31,33,33,29,23,21,23,26,30,33,33,29
21111,厚真　　　　　　　　,42.73,141.888,20,30,19,22,26,30,30,25,22,21,21,22,23,20,23
21126,穂別　　　　　　　　,42.762,142.143,56,30,12,15,18,22,22,19,17,15,15,15,15,13,17
21161,大滝　　　　　　　　,42.67,141.078,390,30,15,16,17,17,18,15,14,13,14,15,16,16,16
21171,森野　　　　　　　　,42.63,141.247,170,30,12,12,13,13,11,7,6,7,8,11,12,12,10
21187,苫小牧　　　　　　　,42.623,141.547,6,30,31,35,34,34,34,28,29,29,33,33,34,32,32
21226,大岸　　　　　　　　,42.59,140.643,4,30,18,18,19,19,15,11,10,11,15,18,19,18,16
21261,白老　　　　　　　　,42.543,141.352,6,30,26,26,26,25,21,18,17,19,24,27,28,27,24
21276,鵡川　　　　　　　　,42.59,141.933,10,30,30,32,35,35,32,26,23,22,24,27,31,31,29
21297,伊達　　　　　　　　,42.475,140.848,3,13,32,31,29,28,25,23,21,22,25,29,31,36,28
21312,登別　　　　　　　　,42.458,141.118,197,30,24,23,23,21,17,12,11,11,15,19,24,25,19
21323,室蘭　　　　　　　　,42.312,140.975,40,30,57,52,49,44,41,37,36,35,39,47,56,61,46
22036,日高　　　　　　　　,42.877,142.442,280,30,13,14,16,17,18,16,15,15,14,13,14,13,15
22141,日高門別　　　　　　,42.497,142.053,47,30,26,26,29,32,31,27,25,25,26,27,28,27,28
22156,新和　　　　　　　　,42.543,142.333,60,30,10,11,14,17,17,14,12,11,10,10,10,9,12
22241,静内　　　　　　　　,42.343,142.362,10,30,24,24,24,23,21,18,15,15,18,21,25,26,21
22291,三石　　　　　　　　,42.245,142.662,10,30,21,21,23,21,18,15,12,11,12,16,21,23,18
22306,中杵臼　　　　　　　,42.223,142.948,98,30,12,14,16,15,14,11,9,9,8,10,14,14,12
22327,浦河　　　　　　　　,42.162,142.777,37,30,49,46,49,46,36,30,28,29,40,48,50,57,42
22391,えりも岬　　　　　　,41.925,143.243,63,30,99,92,87,75,72,67,64,65,71,81,98,108,81
23031,長万部　　　　　　　,42.517,140.373,6,30,22,23,25,27,25,23,22,23,24,24,23,21,24
23086,八雲　　　　　　　　,42.252,140.272,8,30,25,25,27,27,25,22,22,21,21,22,25,26,24
23166,森　　　　　　　　　,42.067,140.588,125,19,28,29,31,33,29,24,23,24,25,29,28,27,28
23206,川汲　　　　　　　　,41.905,140.97,25,30,24,24,24,24,22,18,18,18,22,25,24,24,22
23226,北斗　　　　　　　　,41.887,140.653,25,30,22,24,26,28,27,24,22,21,22,22,22,22,23
23232,函館　　　　　　　　,41.817,140.753,35,30,37,38,41,40,35,32,30,31,34,36,38,39,36
23281,高松　　　　　　　　,41.77,140.822,34,18,43,44,48,46,40,34,35,36,39,42,45,45,42
23326,木古内　　　　　　　,41.68,140.437,10,30,21,21,23,25,24,23,22,24,24,22,21,21,23
23376,松前　　　　　　　　,41.423,140.087,30,30,60,57,52,44,37,35,35,36,38,44,54,61,46
24041,せたな　　　　　　　,42.45,139.852,10,30,55,53,48,41,37,35,33,33,35,41,50,58,43
24051,今金　　　　　　　　,42.428,140.008,19,30,21,21,22,23,24,23,22,20,18,18,21,22,21
24101,奥尻　　　　　　　　,42.248,139.557,5,21,88,83,74,61,53,43,42,42,51,63,76,89,64
24141,熊石　　　　　　　　,42.128,139.985,12,30,25,26,26,22,18,16,15,16,20,23,26,27,22
24156,米岡　　　　　　　　,42.072,139.432,49,18,81,78,70,56,46,39,40,42,48,61,73,83,60
24201,鶉　　　　　　　　　,41.93,140.312,53,30,16,16,17,17,17,16,15,14,12,13,16,17,15
24217,江差　　　　　　　　,41.867,140.123,4,30,70,67,58,44,32,25,26,27,31,44,62,72,47
31001,大間　　　　　　　　,41.527,140.912,14,30,40,39,39,38,35,30,28,26,25,31,39,43,34
31111,むつ　　　　　　　　,41.283,141.21,3,30,27,28,30,30,27,25,23,22,23,25,27,28,26
31121,小田野沢　　　　　　,41.235,141.397,6,30,30,30,33,33,30,25,23,24,26,26,28,29,28
31136,今別　　　　　　　　,41.18,140.482,30,30,18,18,18,17,15,12,12,13,14,15,17,18,16
31156,脇野沢　　　　　　　,41.145,140.822,15,30,25,25,26,27,27,27,27,27,27,25,23,25,26
31186,市浦　　　　　　　　,41.057,140.347,20,30,26,26,25,23,21,21,21,20,19,19,23,26,22
31201,蟹田　　　　　　　　,41.045,140.633,5,30,31,31,35,36,34,30,30,30,29,28,28,30,31
31296,五所川原　　　　　　,40.808,140.458,9,30,30,29,28,27,23,20,19,18,18,21,26,30,24
31312,青森　　　　　　　　,40.822,140.768,3,30,41,42,43,42,37,32,31,31,31,34,39,41,37
31332,野辺地　　　　　　　,40.885,141.16,14,13,45,42,38,34,28,23,21,21,23,30,37,45,32
31336,六ケ所　　　　　　　,40.885,141.272,80,30,28,27,27,26,22,19,18,17,17,19,24,28,23
31366,鰺ケ沢　　　　　　　,40.777,140.205,40,30,35,33,31,27,23,19,18,18,19,23,30,35,26
31386,青森大谷　　　　　　,40.733,140.688,198,18,49,47,49,47,41,32,30,30,30,36,44,48,40
31436,深浦　　　　　　　　,40.645,139.932,66,30,51,51,44,41,36,28,31,27,28,36,45,53,39
31461,弘前　　　　　　　　,40.612,140.455,30,30,18,18,20,22,19,17,15,15,15,16,17,18,18
31466,黒石　　　　　　　　,40.667,140.585,30,30,32,33,34,37,35,30,27,23,22,26,31,32,30
31506,三沢　　　　　　　　,40.675,141.375,39,30,22,22,24,25,21,18,18,18,18,19,21,22,21
31586,十和田　　　　　　　,40.607,141.233,55,30,24,25,27,26,23,18,17,16,16,19,22,23,21
31602,八戸　　　　　　　　,40.527,141.522,27,30,60,58,56,56,50,34,34,37,40,46,53,57,49
31646,碇ケ関　　　　　　　,40.482,140.62,135,30,17,19,21,24,24,22,20,19,18,19,19,17,20
31662,休屋　　　　　　　　,40.427,140.898,414,30,26,25,25,22,18,13,13,13,13,17,23,26,19
31721,三戸　　　　　　　　,40.383,141.257,60,30,13,14,16,18,16,13,11,10,10,10,12,13,13
32056,八森　　　　　　　　,40.413,139.948,34,30,42,38,31,25,21,17,16,16,20,26,33,42,27
32111,能代　　　　　　　　,40.198,140.032,6,30,52,49,46,42,36,33,32,33,34,38,44,51,41
32126,鷹巣　　　　　　　　,40.227,140.372,29,30,20,21,22,23,21,20,19,18,16,16,17,19,19
32136,大館　　　　　　　　,40.252,140.505,49,30,10,11,13,14,12,9,8,7,7,7,8,9,10
32146,鹿角　　　　　　　　,40.215,140.787,123,30,18,20,21,22,20,17,15,13,12,13,15,17,17
32181,脇神　　　　　　　　,40.192,140.372,84,18,33,33,33,31,28,23,22,21,20,21,25,31,27
32206,湯瀬　　　　　　　　,40.12,140.84,214,30,23,23,22,21,19,16,14,14,13,14,18,22,18
32286,男鹿　　　　　　　　,39.912,139.9,20,30,21,22,24,26,26,22,23,20,19,19,20,21,22
32287,大潟　　　　　　　　,40.0,139.95,-3,30,37,35,34,31,26,21,20,18,18,22,29,36,27
32296,五城目　　　　　　　,39.938,140.115,6,30,17,18,22,25,23,18,18,16,15,16,17,18,18
32311,阿仁合　　　　　　　,39.993,140.403,120,30,20,21,23,27,24,20,18,19,20,23,23,21,22
32402,秋田　　　　　　　　,39.717,140.098,6,30,51,50,49,46,41,37,35,36,36,39,45,51,43
32407,岩見三内　　　　　　,39.707,140.287,41,30,13,15,17,19,16,13,11,11,11,11,12,14,14
