番号,地点名,緯度,経度,標高,年数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,通年
11001,宗谷岬　　　　　　　,45.52,141.935,26,30,247,220,116,5,0,0,0,0,0,0,24,162,769
11016,稚内　　　　　　　　,45.415,141.678,3,30,238,207,94,4,0,0,0,0,0,0,24,160,726
11046,礼文　　　　　　　　,45.305,141.045,65,18,242,202,86,5,0,0,0,0,0,0,31,166,734
11061,声問　　　　　　　　,45.403,141.802,8,18,257,216,91,4,0,0,0,0,0,0,22,165,754
11076,浜鬼志別　　　　　　,45.335,142.17,13,30,263,227,127,7,0,0,0,0,0,0,36,185,847
11091,本泊　　　　　　　　,45.242,141.187,30,18,243,202,86,5,0,0,0,0,0,0,28,164,728
11121,沼川　　　　　　　　,45.248,141.852,23,30,259,215,102,3,0,0,0,0,0,0,37,190,806
11151,沓形　　　　　　　　,45.178,141.138,14,30,219,185,75,1,0,0,0,0,0,0,21,147,651
11176,豊富　　　　　　　　,45.102,141.78,14,30,250,207,96,3,0,0,0,0,0,0,33,178,767
11206,浜頓別　　　　　　　,45.125,142.35,18,30,264,219,114,4,0,0,0,0,0,0,38,187,829
11276,中頓別　　　　　　　,44.965,142.28,25,30,266,215,97,3,0,0,0,0,0,0,40,195,819
11291,北見枝幸　　　　　　,44.94,142.585,7,30,254,217,105,5,0,0,0,0,0,0,31,174,786
11316,歌登　　　　　　　　,44.842,142.48,14,30,265,209,91,3,0,0,0,0,0,0,37,195,799
12011,中川　　　　　　　　,44.828,142.077,22,30,256,205,92,2,0,0,0,0,0,0,36,184,778
12041,音威子府　　　　　　,44.727,142.265,40,30,273,218,100,2,0,0,0,0,0,0,45,205,847
12141,美深　　　　　　　　,44.48,142.342,77,30,279,220,95,1,0,0,0,0,0,0,45,212,852
12181,名寄　　　　　　　　,44.37,142.457,89,30,275,218,94,2,0,0,0,0,0,0,39,208,836
12231,下川　　　　　　　　,44.295,142.637,143,30,277,218,107,3,0,0,0,0,0,0,43,213,862
12261,士別　　　　　　　　,44.187,142.417,135,30,277,216,101,2,0,0,0,0,0,0,41,212,849
12266,朝日　　　　　　　　,44.118,142.595,225,30,275,218,107,4,0,0,0,0,0,0,47,211,862
12301,和寒　　　　　　　　,44.028,142.41,150,30,273,212,99,1,0,0,0,0,0,0,39,205,830
12386,江丹別　　　　　　　,43.87,142.26,140,30,268,212,91,1,0,0,0,0,0,0,39,210,821
12396,比布　　　　　　　　,43.87,142.47,164,30,275,214,89,1,0,0,0,0,0,0,40,212,831
12411,上川　　　　　　　　,43.847,142.753,324,30,279,227,129,8,0,0,0,0,0,0,56,226,926
12442,旭川　　　　　　　　,43.757,142.372,120,30,258,195,68,0,0,0,0,0,0,0,27,188,737
12451,東川　　　　　　　　,43.702,142.508,215,30,271,213,105,2,0,0,0,0,0,0,37,206,832
12501,東神楽　　　　　　　,43.67,142.447,211,18,276,210,92,2,0,0,0,0,0,0,36,204,819
12512,志比内　　　　　　　,43.643,142.582,310,28,280,220,121,5,0,0,0,0,0,0,50,219,896
12551,美瑛　　　　　　　　,43.588,142.493,250,30,272,212,99,2,0,0,0,0,0,0,45,209,838
12596,上富良野　　　　　　,43.455,142.465,220,30,266,205,85,1,0,0,0,0,0,0,33,203,792
12626,富良野　　　　　　　,43.333,142.4,174,30,260,207,81,1,0,0,0,0,0,0,27,201,777
12632,麓郷　　　　　　　　,43.302,142.522,315,30,274,218,107,4,0,0,0,0,0,0,43,208,855
12691,幾寅　　　　　　　　,43.168,142.568,350,30,279,218,111,4,0,0,0,0,0,0,41,203,853
12746,占冠　　　　　　　　,42.978,142.395,332,30,271,213,95,3,0,0,0,0,0,0,36,205,823
13061,天塩　　　　　　　　,44.893,141.762,9,30,236,194,81,2,0,0,0,0,0,0,22,152,686
13086,遠別　　　　　　　　,44.718,141.807,7,30,238,189,76,1,0,0,0,0,0,0,20,150,677
13121,初山別　　　　　　　,44.523,141.77,27,30,214,180,67,1,0,0,0,0,0,0,10,129,601
13146,焼尻　　　　　　　　,44.428,141.422,38,30,204,172,67,1,0,0,0,0,0,0,13,124,581
13181,羽幌　　　　　　　　,44.363,141.7,8,30,209,169,55,0,0,0,0,0,0,0,9,124,565
13261,達布　　　　　　　　,44.048,141.857,30,30,231,179,61,1,0,0,0,0,0,0,23,165,660
13277,留萌　　　　　　　　,43.945,141.632,24,30,204,161,53,0,0,0,0,0,0,0,7,109,535
13311,増毛　　　　　　　　,43.848,141.51,20,30,189,155,57,0,0,0,0,0,0,0,8,105,517
