番号,地点名,緯度,経度,標高,年数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,通年
11016,稚内　　　　　　　　,45.415,141.678,3,30,0,0,0,0,0,0,0,0,0,0,0,0,1
11061,声問　　　　　　　　,45.403,141.802,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0
11076,浜鬼志別　　　　　　,45.335,142.17,13,30,0,0,0,0,0,0,0,0,0,0,0,0,0
11121,沼川　　　　　　　　,45.248,141.852,23,30,0,0,0,0,0,0,0,0,0,0,0,0,0
11176,豊富　　　　　　　　,45.102,141.78,14,30,0,0,0,0,0,0,0,0,0,0,0,0,1
11276,中頓別　　　　　　　,44.965,142.28,25,30,0,1,1,0,0,0,0,0,0,0,0,0,2
11291,北見枝幸　　　　　　,44.94,142.585,7,30,0,0,0,0,0,0,0,0,0,0,0,0,1
11316,歌登　　　　　　　　,44.842,142.48,14,30,1,0,0,0,0,0,0,0,0,0,0,0,1
12041,音威子府　　　　　　,44.727,142.265,40,30,1,0,1,0,0,0,0,0,0,0,0,2,5
12141,美深　　　　　　　　,44.48,142.342,77,30,0,0,0,0,0,0,0,0,0,0,0,0,0
12181,名寄　　　　　　　　,44.37,142.457,89,30,0,0,0,0,0,0,0,0,0,0,0,1,2
12231,下川　　　　　　　　,44.295,142.637,143,30,0,0,0,0,0,0,0,0,0,0,0,2,3
12301,和寒　　　　　　　　,44.028,142.41,150,30,0,0,0,0,0,0,0,0,0,0,0,0,0
12411,上川　　　　　　　　,43.847,142.753,324,30,0,0,0,0,0,0,0,0,0,0,0,1,1
12442,旭川　　　　　　　　,43.757,142.372,120,30,0,0,0,0,0,0,0,0,0,0,0,0,0
12471,層雲峡　　　　　　　,43.753,142.93,540,30,0,0,0,0,0,0,0,0,0,0,0,1,2
12501,東神楽　　　　　　　,43.67,142.447,211,15,0,0,0,0,0,0,0,0,0,0,0,0,0
12551,美瑛　　　　　　　　,43.588,142.493,250,30,0,0,0,0,0,0,0,0,0,0,0,0,0
12626,富良野　　　　　　　,43.333,142.4,174,30,0,0,0,0,0,0,0,0,0,0,0,0,0
12691,幾寅　　　　　　　　,43.168,142.568,350,30,0,0,0,0,0,0,0,0,0,0,0,0,1
12746,占冠　　　　　　　　,42.978,142.395,332,30,0,0,0,0,0,0,0,0,0,0,0,0,0
13121,初山別　　　　　　　,44.523,141.77,27,30,0,0,0,0,0,0,0,0,0,0,0,0,0
13181,羽幌　　　　　　　　,44.363,141.7,8,30,0,0,0,0,0,0,0,0,0,0,0,1,1
13206,古丹別　　　　　　　,44.265,141.722,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0
13277,留萌　　　　　　　　,43.945,141.632,24,30,0,0,0,0,0,0,0,0,0,0,0,0,1
14071,厚田　　　　　　　　,43.397,141.437,5,30,0,0,0,0,0,0,0,0,0,0,0,0,0
14101,新篠津　　　　　　　,43.22,141.645,9,30,0,0,0,0,0,0,0,0,0,0,0,0,0
14121,石狩　　　　　　　　,43.193,141.37,5,30,1,0,0,0,0,0,0,0,0,0,0,0,0
14163,札幌　　　　　　　　,43.06,141.328,17,30,0,0,0,0,0,0,0,0,0,0,0,0,0
14191,小金湯　　　　　　　,42.963,141.217,230,30,1,0,0,0,0,0,0,0,0,0,0,1,2
14206,恵庭島松　　　　　　,42.927,141.565,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0
14296,千歳　　　　　　　　,42.775,141.692,22,15,0,0,0,0,0,0,0,0,0,0,0,0,0
15041,朱鞠内　　　　　　　,44.282,142.162,255,30,0,0,0,0,0,0,0,0,0,0,0,0,1
15076,幌加内　　　　　　　,44.01,142.16,159,30,0,0,0,0,0,0,0,0,0,0,0,0,0
15161,深川　　　　　　　　,43.718,142.073,55,30,0,0,0,0,0,0,0,0,0,0,0,0,1
15241,滝川　　　　　　　　,43.57,141.938,50,30,0,0,0,0,0,0,0,0,0,0,0,0,0
15251,芦別　　　　　　　　,43.52,142.19,91,30,0,0,0,0,0,0,0,0,0,0,0,0,0
15321,美唄　　　　　　　　,43.363,141.827,16,30,0,0,0,0,0,0,0,0,0,0,0,0,0
15356,岩見沢　　　　　　　,43.212,141.785,42,30,0,0,0,0,0,0,0,0,0,0,0,1,1
15442,夕張　　　　　　　　,43.038,141.957,293,30,1,0,0,0,0,0,0,0,0,0,0,1,2
16076,余市　　　　　　　　,43.182,140.758,20,30,0,0,0,0,0,0,0,0,0,0,0,0,1
16091,小樽　　　　　　　　,43.182,141.015,25,30,0,0,0,0,0,0,0,0,0,0,0,0,0
16126,赤井川　　　　　　　,43.083,140.82,148,30,0,1,0,0,0,0,0,0,0,0,0,0,2
16156,共和　　　　　　　　,42.98,140.603,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0
16206,蘭越　　　　　　　　,42.81,140.542,39,30,0,0,0,0,0,0,0,0,0,0,0,0,0
16217,倶知安　　　　　　　,42.9,140.757,176,30,1,0,0,0,0,0,0,0,0,0,0,0,2
16252,寿都　　　　　　　　,42.795,140.223,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0
16286,喜茂別　　　　　　　,42.793,140.948,264,30,0,0,0,0,0,0,0,0,0,0,0,0,1
16321,黒松内　　　　　　　,42.663,140.31,27,30,0,0,0,0,0,0,0,0,0,0,0,0,0
17036,雄武　　　　　　　　,44.58,142.963,14,30,0,0,0,0,0,0,0,0,0,0,0,0,0
17091,西興部　　　　　　　,44.332,142.935,120,30,1,0,0,0,0,0,0,0,0,0,0,1,2
17112,紋別　　　　　　　　,44.345,143.355,16,30,0,0,0,0,0,0,0,0,0,0,0,0,1
17116,紋別小向　　　　　　,44.303,143.403,18,13,0,0,0,0,0,0,0,0,0,0,0,0,0
17196,滝上　　　　　　　　,44.177,143.062,165,30,3,1,1,0,0,0,0,0,0,0,0,2,7
17306,遠軽　　　　　　　　,44.053,143.54,80,30,1,0,0,0,0,0,0,0,0,0,0,1,2
17316,佐呂間　　　　　　　,44.018,143.76,54,30,1,0,0,0,0,0,0,0,0,0,0,1,1
17341,網走　　　　　　　　,44.017,144.278,38,30,0,1,0,0,0,0,0,0,0,0,0,0,1
17351,宇登呂　　　　　　　,44.052,144.982,144,30,1,1,1,0,0,0,0,0,0,0,0,0,3
17482,白滝　　　　　　　　,43.865,143.153,475,28,0,1,0,0,0,0,0,0,0,0,0,1,2
