番号,地点名,緯度,経度,標高,年数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,通年
11001,宗谷岬　　　　　　　,45.52,141.935,26,30,306,279,274,111,9,0,0,0,0,2,122,288,1388
11016,稚内　　　　　　　　,45.415,141.678,3,30,306,274,259,70,1,0,0,0,0,1,115,282,1308
11046,礼文　　　　　　　　,45.305,141.045,65,18,308,274,248,63,0,0,0,0,0,3,124,283,1305
11061,声問　　　　　　　　,45.403,141.802,8,18,309,279,283,178,47,5,0,0,0,47,188,296,1632
11076,浜鬼志別　　　　　　,45.335,142.17,13,30,307,279,290,168,28,1,0,0,0,33,196,297,1598
11091,本泊　　　　　　　　,45.242,141.187,30,18,308,277,264,123,18,0,0,0,0,6,137,288,1421
11121,沼川　　　　　　　　,45.248,141.852,23,30,309,280,288,188,55,5,0,0,6,87,214,301,1734
11151,沓形　　　　　　　　,45.178,141.138,14,30,306,271,253,98,7,0,0,0,0,2,117,281,1336
11176,豊富　　　　　　　　,45.102,141.78,14,30,309,278,282,155,27,0,0,0,0,31,193,295,1571
11206,浜頓別　　　　　　　,45.125,142.35,18,30,310,280,288,157,24,1,0,0,0,16,185,298,1554
11276,中頓別　　　　　　　,44.965,142.28,25,30,309,281,294,209,56,3,0,0,2,89,226,303,1771
11291,北見枝幸　　　　　　,44.94,142.585,7,30,310,280,285,117,9,0,0,0,0,6,157,295,1459
11316,歌登　　　　　　　　,44.842,142.48,14,30,310,282,297,211,57,3,0,0,3,82,219,303,1764
12011,中川　　　　　　　　,44.828,142.077,22,30,310,280,294,205,45,2,0,0,1,65,213,301,1714
12041,音威子府　　　　　　,44.727,142.265,40,30,310,280,297,193,39,1,0,0,0,38,203,302,1666
12141,美深　　　　　　　　,44.48,142.342,77,30,310,282,302,203,36,1,0,0,0,57,221,307,1717
12181,名寄　　　　　　　　,44.37,142.457,89,30,309,282,303,210,44,1,0,0,0,63,219,306,1738
12231,下川　　　　　　　　,44.295,142.637,143,30,310,282,306,233,61,3,0,0,3,87,228,307,1819
12261,士別　　　　　　　　,44.187,142.417,135,30,309,282,301,183,28,0,0,0,0,37,197,306,1644
12266,朝日　　　　　　　　,44.118,142.595,225,30,309,281,304,215,38,0,0,0,0,53,223,306,1730
12301,和寒　　　　　　　　,44.028,142.41,150,30,309,282,299,178,31,0,0,0,0,37,197,304,1637
12386,江丹別　　　　　　　,43.87,142.26,140,30,309,283,307,242,59,1,0,0,0,85,243,308,1838
12396,比布　　　　　　　　,43.87,142.47,164,30,310,282,304,187,15,0,0,0,0,39,208,306,1652
12411,上川　　　　　　　　,43.847,142.753,324,30,310,283,306,239,52,2,0,0,2,89,245,309,1836
12442,旭川　　　　　　　　,43.757,142.372,120,30,310,282,295,144,10,0,0,0,0,30,202,303,1576
12451,東川　　　　　　　　,43.702,142.508,215,30,309,282,298,179,18,0,0,0,0,40,202,305,1634
12501,東神楽　　　　　　　,43.67,142.447,211,18,309,281,298,192,29,1,0,0,0,48,207,303,1668
12512,志比内　　　　　　　,43.643,142.582,310,28,310,282,302,199,30,0,0,0,0,46,219,308,1694
12551,美瑛　　　　　　　　,43.588,142.493,250,30,310,282,303,204,33,0,0,0,1,66,229,305,1731
12596,上富良野　　　　　　,43.455,142.465,220,30,310,282,300,173,15,0,0,0,0,47,211,303,1641
12626,富良野　　　　　　　,43.333,142.4,174,30,309,282,296,161,14,0,0,0,0,41,209,302,1614
12632,麓郷　　　　　　　　,43.302,142.522,315,30,310,282,303,212,40,0,0,0,2,89,238,306,1784
12691,幾寅　　　　　　　　,43.168,142.568,350,30,310,282,302,211,39,0,0,0,3,88,229,304,1765
12746,占冠　　　　　　　　,42.978,142.395,332,30,310,283,308,242,63,1,0,0,1,100,250,307,1864
13061,天塩　　　　　　　　,44.893,141.762,9,30,308,274,273,159,38,2,0,0,0,31,166,288,1539
13086,遠別　　　　　　　　,44.718,141.807,7,30,308,277,278,157,23,0,0,0,0,14,167,290,1515
13121,初山別　　　　　　　,44.523,141.77,27,30,307,274,270,133,19,0,0,0,0,7,138,280,1428
13146,焼尻　　　　　　　　,44.428,141.422,38,30,302,264,222,38,0,0,0,0,0,0,88,260,1174
13181,羽幌　　　　　　　　,44.363,141.7,8,30,307,275,266,108,7,0,0,0,0,4,122,281,1370
13261,達布　　　　　　　　,44.048,141.857,30,30,308,280,294,190,37,1,0,0,0,37,195,301,1641
13277,留萌　　　　　　　　,43.945,141.632,24,30,307,279,268,92,3,0,0,0,0,4,111,281,1345
13311,増毛　　　　　　　　,43.848,141.51,20,30,304,275,257,71,2,0,0,0,0,1,93,273,1273
13321,幌糠　　　　　　　　,43.853,141.76,20,30,309,279,300,209,42,0,0,0,0,52,211,304,1706
14026,浜益　　　　　　　　,43.582,141.387,3,30,305,276,261,109,7,0,0,0,0,4,102,275,1339
14071,厚田　　　　　　　　,43.397,141.437,5,30,307,278,276,139,15,0,0,0,0,7,133,288,1442
14101,新篠津　　　　　　　,43.22,141.645,9,30,309,281,290,125,4,0,0,0,0,11,168,297,1481
14116,山口　　　　　　　　,43.148,141.222,5,30,306,278,265,95,3,0,0,0,0,6,142,288,1383
14121,石狩　　　　　　　　,43.193,141.37,5,30,307,280,271,98,4,0,0,0,0,5,144,292,1400
