番号,地点名,緯度,経度,標高,年数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,通年
11016,稚内　　　　　　　　,45.415,141.678,3,30,129,105,68,9,0,0,0,0,0,1,41,122,477
11061,声問　　　　　　　　,45.403,141.802,8,15,150,118,71,10,0,0,0,0,0,1,49,129,528
11076,浜鬼志別　　　　　　,45.335,142.17,13,30,205,161,126,18,0,0,0,0,0,1,75,196,780
11121,沼川　　　　　　　　,45.248,141.852,23,30,204,160,111,29,1,0,0,0,0,2,69,204,777
11176,豊富　　　　　　　　,45.102,141.78,14,30,195,150,112,21,0,0,0,0,0,1,56,178,703
11276,中頓別　　　　　　　,44.965,142.28,25,30,219,172,136,41,2,0,0,0,0,2,84,233,886
11291,北見枝幸　　　　　　,44.94,142.585,7,30,138,110,91,22,1,0,0,0,0,1,59,139,562
11316,歌登　　　　　　　　,44.842,142.48,14,30,199,157,135,52,3,0,0,0,0,1,101,222,841
12041,音威子府　　　　　　,44.727,142.265,40,30,291,218,179,72,3,0,0,0,0,3,124,325,1216
12141,美深　　　　　　　　,44.48,142.342,77,30,200,157,138,46,0,0,0,0,0,3,111,244,888
12181,名寄　　　　　　　　,44.37,142.457,89,30,186,147,128,33,0,0,0,0,0,3,104,225,829
12231,下川　　　　　　　　,44.295,142.637,143,30,184,150,139,40,0,0,0,0,0,3,82,204,820
12301,和寒　　　　　　　　,44.028,142.41,150,30,157,133,123,31,0,0,0,0,0,2,96,197,745
12411,上川　　　　　　　　,43.847,142.753,324,30,178,150,137,40,0,0,0,0,0,4,104,203,816
12442,旭川　　　　　　　　,43.757,142.372,120,30,125,97,80,15,0,0,0,0,0,2,82,158,557
12471,層雲峡　　　　　　　,43.753,142.93,540,30,163,150,160,80,3,0,0,0,0,10,133,202,907
12501,東神楽　　　　　　　,43.67,142.447,211,15,87,77,64,16,0,0,0,0,0,4,60,117,424
12551,美瑛　　　　　　　　,43.588,142.493,250,30,164,141,129,28,0,0,0,0,0,3,79,182,708
12626,富良野　　　　　　　,43.333,142.4,174,30,145,121,110,22,0,0,0,0,0,2,72,159,628
12691,幾寅　　　　　　　　,43.168,142.568,350,30,130,111,115,37,0,0,0,0,0,4,58,147,601
12746,占冠　　　　　　　　,42.978,142.395,332,30,167,141,127,39,0,0,0,0,0,2,54,165,705
13121,初山別　　　　　　　,44.523,141.77,27,30,191,148,102,11,0,0,0,0,0,0,43,164,658
13181,羽幌　　　　　　　　,44.363,141.7,8,30,159,110,65,8,0,0,0,0,0,0,44,154,535
13206,古丹別　　　　　　　,44.265,141.722,15,30,196,144,102,28,0,0,0,0,0,0,53,190,722
13277,留萌　　　　　　　　,43.945,141.632,24,30,165,120,75,9,0,0,0,0,0,0,35,147,546
14071,厚田　　　　　　　　,43.397,141.437,5,30,229,178,107,9,0,0,0,0,0,0,46,174,728
14101,新篠津　　　　　　　,43.22,141.645,9,30,236,177,109,14,0,0,0,0,0,0,71,231,820
14121,石狩　　　　　　　　,43.193,141.37,5,30,201,153,96,11,0,0,0,0,0,0,32,157,644
14163,札幌　　　　　　　　,43.06,141.328,17,30,137,116,74,6,0,0,0,0,0,1,30,113,479
14191,小金湯　　　　　　　,42.963,141.217,230,30,204,167,144,31,0,0,0,0,0,2,69,185,808
14206,恵庭島松　　　　　　,42.927,141.565,30,30,155,140,96,8,0,0,0,0,0,1,19,116,534
14296,千歳　　　　　　　　,42.775,141.692,22,15,63,64,42,3,0,0,0,0,0,0,10,44,227
15041,朱鞠内　　　　　　　,44.282,142.162,255,30,270,220,180,59,6,0,0,0,0,10,179,343,1247
15076,幌加内　　　　　　　,44.01,142.16,159,30,278,231,181,48,1,0,0,0,0,4,157,326,1232
15161,深川　　　　　　　　,43.718,142.073,55,30,243,188,146,23,0,0,0,0,0,1,83,242,929
15241,滝川　　　　　　　　,43.57,141.938,50,30,208,168,131,21,0,0,0,0,0,2,90,228,844
15251,芦別　　　　　　　　,43.52,142.19,91,30,161,140,108,14,0,0,0,0,0,2,67,177,666
15321,美唄　　　　　　　　,43.363,141.827,16,30,203,156,107,13,0,0,0,0,0,1,77,216,766
15356,岩見沢　　　　　　　,43.212,141.785,42,30,187,137,72,8,0,0,0,0,0,1,70,200,664
15442,夕張　　　　　　　　,43.038,141.957,293,30,225,172,132,34,0,0,0,0,0,3,84,230,872
16076,余市　　　　　　　　,43.182,140.758,20,30,248,199,133,20,0,0,0,0,0,0,48,216,865
16091,小樽　　　　　　　　,43.182,141.015,25,30,157,130,80,7,0,0,0,0,0,0,36,142,556
16126,赤井川　　　　　　　,43.083,140.82,148,30,256,213,149,30,0,0,0,0,0,1,76,243,966
16156,共和　　　　　　　　,42.98,140.603,15,30,200,148,81,8,0,0,0,0,0,1,32,171,643
16206,蘭越　　　　　　　　,42.81,140.542,39,30,213,169,107,13,0,0,0,0,0,0,53,194,746
16217,倶知安　　　　　　　,42.9,140.757,176,30,253,187,122,17,0,0,0,0,0,2,95,253,921
16252,寿都　　　　　　　　,42.795,140.223,33,30,146,114,60,3,0,0,0,0,0,0,24,108,454
16286,喜茂別　　　　　　　,42.793,140.948,264,30,238,193,143,32,0,0,0,0,0,3,95,244,954
16321,黒松内　　　　　　　,42.663,140.31,27,30,249,212,129,14,0,0,0,0,0,0,49,186,838
17036,雄武　　　　　　　　,44.58,142.963,14,30,84,71,59,17,2,0,0,0,0,1,31,83,343
17091,西興部　　　　　　　,44.332,142.935,120,30,153,122,110,32,2,0,0,0,0,3,55,150,623
17112,紋別　　　　　　　　,44.345,143.355,16,30,87,77,62,16,1,0,0,0,0,0,21,75,338
17116,紋別小向　　　　　　,44.303,143.403,18,13,104,96,68,24,1,0,0,0,0,1,32,95,424
17196,滝上　　　　　　　　,44.177,143.062,165,30,153,128,117,30,2,0,0,0,0,2,53,148,630
17306,遠軽　　　　　　　　,44.053,143.54,80,30,144,119,103,26,2,0,0,0,0,0,25,112,531
17316,佐呂間　　　　　　　,44.018,143.76,54,30,150,124,103,34,3,0,0,0,0,1,23,121,556
17341,網走　　　　　　　　,44.017,144.278,38,30,90,69,52,15,1,0,0,0,0,0,13,71,312
17351,宇登呂　　　　　　　,44.052,144.982,144,30,168,136,118,46,7,0,0,0,0,1,29,138,635
17482,白滝　　　　　　　　,43.865,143.153,475,28,133,109,114,43,2,0,0,0,0,6,63,143,604
17521,北見　　　　　　　　,43.777,143.842,104,30,109,85,81,26,1,0,0,0,0,0,16,92,414
17531,女満別　　　　　　　,43.88,144.163,33,15,81,75,61,23,2,0,0,0,0,1,14,66,324
17561,斜里　　　　　　　　,43.885,144.7,15,30,153,124,100,30,1,0,0,0,0,1,17,101,524
17596,留辺蘂　　　　　　　,43.742,143.45,325,30,130,105,99,31,1,0,0,0,0,1,28,110,507
17717,津別　　　　　　　　,43.702,144.033,100,30,126,108,99,22,2,0,0,0,0,0,15,107,480
18038,羅臼　　　　　　　　,44.023,145.187,15,16,149,119,95,38,2,0,0,0,0,1,30,114,545
18171,中標津　　　　　　　,43.543,144.978,50,30,111,97,92,35,3,0,0,0,0,0,14,81,433
18174,根室中標津　　　　　,43.577,144.96,65,15,66,73,60,23,0,0,0,0,0,0,9,54,287
18256,別海　　　　　　　　,43.382,145.118,23,30,84,72,75,26,1,0,0,0,0,0,11,66,330
18273,根室　　　　　　　　,43.33,145.585,25,30,43,39,36,12,0,0,0,0,0,0,2,28,159
18311,厚床　　　　　　　　,43.222,145.227,41,30,85,77,76,28,3,0,0,0,0,0,8,65,344
19021,川湯　　　　　　　　,43.617,144.457,158,30,128,102,96,51,3,0,0,0,0,1,19,101,505
19076,阿寒湖畔　　　　　　,43.437,144.083,426,30,132,96,105,54,3,0,0,0,0,1,31,123,548
19151,標茶　　　　　　　　,43.292,144.587,20,30,86,70,73,31,0,0,0,0,0,0,8,69,338
19191,鶴居　　　　　　　　,43.232,144.325,38,30,80,72,82,26,1,0,0,0,0,0,8,62,332
19261,中徹別　　　　　　　,43.198,144.142,80,30,86,75,84,20,1,0,0,0,0,0,8,67,342
19347,鶴丘　　　　　　　　,43.04,144.192,95,15,34,34,44,12,0,0,0,0,0,0,5,34,165
19376,太田　　　　　　　　,43.09,144.778,85,30,91,79,91,34,1,0,0,0,0,0,9,72,370
19416,白糠　　　　　　　　,42.97,144.062,9,30,77,71,78,14,0,0,0,0,0,0,8,49,298
19432,釧路　　　　　　　　,42.985,144.377,5,30,32,27,31,7,0,0,0,0,0,0,4,26,127
20146,陸別　　　　　　　　,43.472,143.753,210,30,97,74,80,25,2,0,0,0,0,1,20,86,386
20186,ぬかびら源泉郷　　　,43.367,143.192,540,30,103,83,100,57,3,0,0,0,0,2,45,104,494
20266,上士幌　　　　　　　,43.242,143.295,287,30,87,76,77,19,4,0,0,0,0,0,19,74,363
20341,本別　　　　　　　　,43.132,143.6,67,30,67,56,59,15,1,0,0,0,0,0,12,65,276
20356,新得　　　　　　　　,43.077,142.84,178,30,121,112,123,26,3,0,0,0,0,1,26,107,517
20421,芽室　　　　　　　　,42.9,143.043,90,30,99,81,83,18,1,0,0,0,0,0,19,93,396
20432,帯広　　　　　　　　,42.922,143.212,38,30,52,37,36,9,1,0,0,0,0,0,10,51,198
20506,浦幌　　　　　　　　,42.808,143.657,20,30,76,67,61,9,2,0,0,0,0,0,10,55,281
20551,帯広泉　　　　　　　,42.733,143.217,149,15,60,64,54,25,1,0,0,0,0,2,19,69,298
20601,上札内　　　　　　　,42.642,143.097,251,30,144,116,117,43,4,0,0,0,0,1,31,130,588
20696,大樹　　　　　　　　,42.5,143.273,87,30,162,139,130,44,3,0,0,0,0,0,25,123,627
20751,広尾　　　　　　　　,42.293,143.317,32,30,83,70,63,16,1,0,0,0,0,0,5,60,297
21031,安平　　　　　　　　,42.815,141.828,33,30,112,97,78,9,0,0,0,0,0,0,16,88,405
21126,穂別　　　　　　　　,42.762,142.143,56,30,130,110,83,9,0,0,0,0,0,0,16,101,451
21161,大滝　　　　　　　　,42.67,141.078,390,30,188,160,147,56,1,0,0,0,0,4,70,188,813
21187,苫小牧　　　　　　　,42.623,141.547,6,30,42,42,26,2,0,0,0,0,0,0,4,29,145
21226,大岸　　　　　　　　,42.59,140.643,4,30,158,137,94,8,0,0,0,0,0,0,37,134,571
21261,白老　　　　　　　　,42.543,141.352,6,30,68,76,56,5,0,0,0,0,0,0,4,40,253
21312,登別　　　　　　　　,42.458,141.118,197,30,127,117,94,19,0,0,0,0,0,0,11,82,454
21323,室蘭　　　　　　　　,42.312,140.975,40,30,49,45,27,4,0,0,0,0,0,0,5,27,157
22036,日高　　　　　　　　,42.877,142.442,280,30,121,106,95,27,0,0,0,0,0,0,25,109,495
22106,旭　　　　　　　　　,42.628,142.393,245,17,61,64,56,3,0,0,0,0,0,0,6,56,249
22241,静内　　　　　　　　,42.343,142.362,10,30,56,54,32,8,2,0,0,0,0,0,5,31,188
22306,中杵臼　　　　　　　,42.223,142.948,98,30,110,96,80,15,0,0,0,0,0,0,14,91,397
22327,浦河　　　　　　　　,42.162,142.777,37,30,41,35,19,1,0,0,0,0,0,0,4,28,128
22356,目黒　　　　　　　　,42.128,143.312,7,30,106,102,92,17,0,0,0,0,0,0,6,73,403
23031,長万部　　　　　　　,42.517,140.373,6,30,174,164,104,9,0,0,0,0,0,0,24,128,600
23086,八雲　　　　　　　　,42.252,140.272,8,30,185,153,99,9,0,0,0,0,0,0,35,150,628
23166,森　　　　　　　　　,42.067,140.588,125,19,128,118,80,6,0,0,0,0,0,0,19,108,465
23191,大沼　　　　　　　　,41.977,140.715,165,30,139,117,92,8,0,0,0,0,0,0,18,111,489
23232,函館　　　　　　　　,41.817,140.753,35,30,91,74,41,2,0,0,0,0,0,0,18,79,306
23281,高松　　　　　　　　,41.77,140.822,34,15,60,55,30,1,0,0,0,0,0,0,13,57,216
23356,千軒　　　　　　　　,41.558,140.272,100,30,212,176,130,28,0,0,0,0,0,0,33,156,734
24051,今金　　　　　　　　,42.428,140.008,19,30,183,151,96,13,0,0,0,0,0,0,30,136,611
24141,熊石　　　　　　　　,42.128,139.985,12,30,152,124,62,1,0,0,0,0,0,0,14,91,442
24201,鶉　　　　　　　　　,41.93,140.312,53,30,175,146,100,10,0,0,0,0,0,0,27,135,586
24217,江差　　　　　　　　,41.867,140.123,4,30,77,60,26,1,0,0,0,0,0,0,6,49,219
31001,大間　　　　　　　　,41.527,140.912,14,30,65,76,36,1,0,0,0,0,0,0,1,29,208
31111,むつ　　　　　　　　,41.283,141.21,3,30,121,104,61,4,0,0,0,0,0,0,10,66,365
31136,今別　　　　　　　　,41.18,140.482,30,30,163,131,87,5,0,0,0,0,0,0,14,103,503
31156,脇野沢　　　　　　　,41.145,140.822,15,30,180,146,84,5,0,0,0,0,0,0,15,114,546
31296,五所川原　　　　　　,40.808,140.458,9,30,186,143,80,3,0,0,0,0,0,0,19,122,543
31312,青森　　　　　　　　,40.822,140.768,3,30,195,141,64,4,0,0,0,0,0,0,23,143,567
31366,鰺ケ沢　　　　　　　,40.777,140.205,40,30,140,121,60,2,0,0,0,0,0,0,6,84,412
31436,深浦　　　　　　　　,40.645,139.932,66,30,80,66,27,1,0,0,0,0,0,0,4,50,226
31461,弘前　　　　　　　　,40.612,140.455,30,30,221,185,116,6,0,0,0,0,0,0,17,147,679
31482,酸ケ湯　　　　　　　,40.648,140.848,890,30,454,341,234,97,40,2,0,0,0,11,143,376,1706
31586,十和田　　　　　　　,40.607,141.233,55,30,125,116,73,3,0,0,0,0,0,0,10,72,395
31602,八戸　　　　　　　　,40.527,141.522,27,30,40,42,29,2,0,0,0,0,0,0,2,22,134
31646,碇ケ関　　　　　　　,40.482,140.62,135,30,192,165,110,5,0,0,0,0,0,0,19,133,621
31721,三戸　　　　　　　　,40.383,141.257,60,30,111,109,77,5,0,0,0,0,0,0,3,65,367
32111,能代　　　　　　　　,40.198,140.032,6,30,129,106,30,1,0,0,0,0,0,0,5,66,337
32126,鷹巣　　　　　　　　,40.227,140.372,29,30,183,145,68,1,0,0,0,0,0,0,8,113,514
32146,鹿角　　　　　　　　,40.215,140.787,123,30,182,150,100,2,0,0,0,0,0,0,13,132,579
32296,五城目　　　　　　　,39.938,140.115,6,30,156,126,44,1,0,0,0,0,0,0,7,79,410
32311,阿仁合　　　　　　　,39.993,140.403,120,30,259,198,127,13,0,0,0,0,0,0,21,170,778
32402,秋田　　　　　　　　,39.717,140.098,6,30,100,79,30,1,0,0,0,0,0,0,6,58,273
32466,角館　　　　　　　　,39.603,140.557,56,30,218,175,95,7,0,0,0,0,0,0,12,130,630
32496,大正寺　　　　　　　,39.527,140.233,20,30,199,160,73,2,0,0,0,0,0,0,12,119,564
32571,本荘　　　　　　　　,39.36,140.055,11,30,125,99,22,0,0,0,0,0,0,0,10,62,315
32596,横手　　　　　　　　,39.32,140.555,59,30,276,202,106,6,0,0,0,0,0,0,23,186,793
32626,矢島　　　　　　　　,39.235,140.137,46,30,225,166,87,4,0,0,0,0,0,0,15,135,625
32691,湯沢　　　　　　　　,39.187,140.463,74,30,266,195,99,7,0,0,0,0,0,0,16,177,754
32771,湯の岱　　　　　　　,38.96,140.528,335,30,295,213,152,28,0,0,0,0,0,0,26,198,913
33071,二戸　　　　　　　　,40.298,141.298,87,30,93,93,41,1,0,0,0,0,0,0,1,49,280
33146,久慈　　　　　　　　,40.168,141.748,13,30,50,61,35,2,0,0,0,0,0,0,0,22,169
33176,奥中山　　　　　　　,40.06,141.225,430,30,156,134,112,16,0,0,0,0,0,0,24,133,571
33186,葛巻　　　　　　　　,40.04,141.457,418,30,116,107,76,7,0,0,0,0,0,0,4,79,384
33226,岩手松尾　　　　　　,39.952,141.065,275,30,122,108,60,5,0,0,0,0,0,0,10,90,392
33326,岩泉　　　　　　　　,39.847,141.795,105,30,77,77,45,4,0,0,0,0,0,0,2,33,243
33421,雫石　　　　　　　　,39.697,140.975,195,30,154,130,90,4,0,0,0,0,0,0,9,93,480
33431,盛岡　　　　　　　　,39.698,141.165,155,30,63,55,39,3,0,0,0,0,0,0,6,44,209
33441,区界　　　　　　　　,39.65,141.353,734,30,142,134,125,33,0,0,0,0,0,0,21,114,571
33472,宮古　　　　　　　　,39.647,141.965,43,30,20,33,28,2,0,0,0,0,0,0,0,9,91
33631,湯田　　　　　　　　,39.31,140.777,250,30,322,242,162,43,0,0,0,0,0,0,50,239,1065
33671,遠野　　　　　　　　,39.338,141.543,275,30,86,70,36,2,0,0,0,0,0,0,3,46,243
33716,北上　　　　　　　　,39.288,141.11,61,30,123,99,42,2,0,0,0,0,0,0,3,73,340
33831,祭畤　　　　　　　　,39.012,140.865,350,30,284,219,156,26,0,0,0,0,0,0,33,221,931
33877,大船渡　　　　　　　,39.063,141.713,37,30,13,14,8,1,0,0,0,0,0,0,1,9,45
33911,一関　　　　　　　　,38.933,141.125,32,30,57,52,15,2,0,0,0,0,0,0,3,40,166
34012,駒ノ湯　　　　　　　,38.913,140.828,532,24,268,207,169,37,0,0,0,0,0,0,36,208,924
34096,川渡　　　　　　　　,38.743,140.76,170,30,144,115,61,4,0,0,0,0,0,0,7,85,407
34216,古川　　　　　　　　,38.598,140.912,28,30,80,55,24,1,0,0,0,0,0,0,1,42,200
34292,石巻　　　　　　　　,38.427,141.298,43,30,17,16,9,1,0,0,0,0,0,0,1,8,51
34311,新川　　　　　　　　,38.303,140.637,265,30,133,114,48,4,0,0,0,0,0,0,2,66,365
