番号,地点名,緯度,経度,標高,年数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,通年
11001,宗谷岬　　　　　　　,45.52,141.935,26,30,235,184,215,310,580,588,1063,1265,1238,1146,944,540,8364
11016,稚内　　　　　　　　,45.415,141.678,3,30,846,606,551,503,681,658,1009,1231,1367,1297,1214,1129,11092
11046,礼文　　　　　　　　,45.305,141.045,65,18,734,516,441,492,797,846,1010,1386,1311,1004,984,915,10491
11076,浜鬼志別　　　　　　,45.335,142.17,13,30,611,427,451,427,625,630,1092,1257,1196,1180,1106,912,9950
11121,沼川　　　　　　　　,45.248,141.852,23,30,892,665,590,525,661,605,1091,1255,1286,1420,1306,1179,11475
11151,沓形　　　　　　　　,45.178,141.138,14,30,464,333,348,412,684,621,938,1182,1179,1175,1065,726,9162
11176,豊富　　　　　　　　,45.102,141.78,14,30,652,480,465,466,618,598,1112,1209,1308,1378,1166,859,10308
11206,浜頓別　　　　　　　,45.125,142.35,18,30,621,467,502,476,610,650,1169,1189,1214,1064,1019,833,9970
11276,中頓別　　　　　　　,44.965,142.28,25,30,924,663,722,567,684,666,1202,1455,1418,1558,1528,1261,12647
11291,北見枝幸　　　　　　,44.94,142.585,7,30,756,565,648,564,691,824,1250,1414,1349,1277,1241,1018,11596
11316,歌登　　　　　　　　,44.842,142.48,14,30,983,673,710,555,699,829,1194,1494,1572,1452,1571,1364,13083
12011,中川　　　　　　　　,44.828,142.077,22,30,892,606,636,540,686,604,1144,1513,1368,1603,1567,1325,12483
12041,音威子府　　　　　　,44.727,142.265,40,30,1067,707,714,568,655,606,1204,1639,1480,1643,1803,1580,13912
12066,小車　　　　　　　　,44.608,142.295,60,15,736,544,473,391,521,696,1190,1688,1215,1544,1411,1244,11532
12141,美深　　　　　　　　,44.48,142.342,77,30,810,602,602,475,601,648,1211,1316,1362,1307,1392,1260,11585
12181,名寄　　　　　　　　,44.37,142.457,89,30,494,387,442,455,606,652,1294,1361,1381,1156,1085,831,10068
12217,西風連　　　　　　　,44.295,142.358,128,15,503,449,547,486,604,719,1289,1563,1345,1378,1275,1001,11333
