番号,地点名,緯度,経度,標高,年数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,通年
31482,酸ケ湯　　　　　　　,40.648,140.848,890,30,118,225,535,1129,1764,1584,1178,1284,1150,1043,529,168,10694
35216,肘折　　　　　　　　,38.607,140.163,330,30,207,377,759,1495,1914,1500,1196,1537,1154,1037,745,313,12235
36106,桧原　　　　　　　　,37.722,140.058,824,30,429,533,927,1431,1666,1341,1126,1515,1158,1081,823,531,12561
16281,真狩　　　　　　　　,42.775,140.88,440,30,331,453,896,1495,1781,1573,1308,1273,1419,1215,596,258,12598
12041,音威子府　　　　　　,44.727,142.265,40,30,410,617,971,1440,1751,1600,1398,1308,1372,1085,403,234,12604
36196,鷲倉　　　　　　　　,37.668,140.26,1220,30,388,606,1083,1569,1788,1253,1060,1393,1069,1107,864,488,12607
35361,大井沢　　　　　　　,38.39,139.993,440,30,264,461,946,1558,1959,1511,1232,1434,1097,1082,759,358,12637
11121,沼川　　　　　　　　,45.248,141.852,23,30,359,618,1175,1448,1626,1340,1171,1322,1628,1273,560,265,12785
88736,中之島　　　　　　　,29.84,129.867,220,18,664,699,1066,1338,1289,709,1271,1551,1204,1357,1011,729,12941
16321,黒松内　　　　　　　,42.663,140.31,27,30,330,458,1027,1672,1807,1362,1128,1315,1486,1300,703,361,12947
36426,只見　　　　　　　　,37.343,139.313,377,30,341,523,917,1498,1867,1395,1309,1632,1190,1020,800,444,12954
32771,湯の岱　　　　　　　,38.96,140.528,335,30,225,413,937,1481,1837,1602,1339,1647,1271,1169,755,339,13017
32206,湯瀬　　　　　　　　,40.12,140.84,214,30,271,459,928,1553,1908,1572,1273,1493,1305,1168,733,398,13059
15076,幌加内　　　　　　　,44.01,142.16,159,30,424,560,1027,1463,1824,1611,1518,1461,1409,1098,460,221,13076
12141,美深　　　　　　　　,44.48,142.342,77,30,425,663,1084,1502,1811,1623,1485,1401,1347,1111,481,265,13197
35486,小国　　　　　　　　,38.078,139.735,140,30,255,424,923,1478,1897,1634,1449,1796,1318,1086,654,313,13226
35162,新庄　　　　　　　　,38.757,140.312,105,30,371,599,1076,1545,1762,1580,1327,1648,1252,1047,666,368,13246
24051,今金　　　　　　　　,42.428,140.008,19,30,266,451,1103,1689,1808,1484,1197,1372,1571,1332,647,277,13249
15041,朱鞠内　　　　　　　,44.282,142.162,255,30,440,609,1010,1526,1967,1660,1489,1444,1420,1069,427,233,13285
88836,名瀬　　　　　　　　,28.378,129.495,3,30,587,633,893,1106,1228,1164,1992,1763,1350,1079,861,665,13321
88837,名瀬　　　　　　　　,28.385,129.493,3,30,587,633,893,1106,1228,1164,1992,1763,1350,1079,861,665,13321
11176,豊富　　　　　　　　,45.102,141.78,14,30,463,742,1250,1490,1699,1390,1262,1371,1610,1228,550,278,13335
54566,守門　　　　　　　　,37.347,139.043,222,30,313,494,832,1405,1823,1412,1341,1794,1348,1207,883,447,13364
36716,桧枝岐　　　　　　　,37.01,139.375,973,30,488,680,1061,1372,1782,1325,1335,1513,1154,1098,929,642,13378
16206,蘭越　　　　　　　　,42.81,140.542,39,30,333,482,995,1649,1964,1606,1314,1429,1487,1227,632,264,13380
32266,八幡平　　　　　　　,40.013,140.802,578,30,196,387,889,1626,2021,1787,1381,1593,1344,1205,684,273,13384
54841,湯沢　　　　　　　　,36.942,138.81,340,30,458,623,952,1490,1894,1401,1291,1641,1117,1076,889,635,13467
16026,美国　　　　　　　　,43.272,140.563,75,30,264,414,971,1697,1995,1631,1480,1577,1498,1208,546,225,13505
11276,中頓別　　　　　　　,44.965,142.28,25,30,523,744,1165,1473,1760,1563,1359,1340,1541,1243,557,337,13561
32476,田沢湖　　　　　　　,39.698,140.732,230,30,416,602,945,1374,1782,1657,1363,1623,1332,1254,786,449,13581
12011,中川　　　　　　　　,44.828,142.077,22,30,478,696,1151,1521,1851,1578,1455,1411,1613,1129,461,267,13611
12181,名寄　　　　　　　　,44.37,142.457,89,30,586,791,1162,1479,1781,1597,1487,1420,1394,1099,507,376,13678
54191,下関　　　　　　　　,38.092,139.563,33,30,267,439,919,1513,1855,1609,1438,1890,1415,1209,755,381,13691
24201,鶉　　　　　　　　　,41.93,140.312,53,30,429,553,1176,1665,1741,1521,1167,1395,1531,1405,741,362,13733
35116,金山　　　　　　　　,38.878,140.332,170,30,347,540,995,1557,1873,1692,1416,1753,1352,1143,752,389,13755
16286,喜茂別　　　　　　　,42.793,140.948,264,30,462,572,997,1532,1830,1700,1419,1445,1507,1256,682,346,13763
12386,江丹別　　　　　　　,43.87,142.26,140,30,540,710,1123,1543,1861,1597,1523,1485,1398,1135,524,329,13768
21161,大滝　　　　　　　　,42.67,141.078,390,30,441,594,1006,1602,1907,1680,1371,1396,1424,1261,723,398,13782
35071,差首鍋　　　　　　　,38.918,140.2,88,30,354,548,1026,1525,1920,1658,1384,1747,1316,1152,748,379,13783
12301,和寒　　　　　　　　,44.028,142.41,150,30,569,772,1134,1538,1760,1544,1503,1476,1429,1155,538,369,13786
63071,兎和野高原　　　　　,35.432,134.583,540,14,488,651,1181,1620,1965,1266,1207,1715,1091,1121,957,623,13825
33631,湯田　　　　　　　　,39.31,140.777,250,30,312,493,1029,1517,1880,1655,1424,1609,1384,1270,846,384,13833
33186,葛巻　　　　　　　　,40.04,141.457,418,30,474,666,1231,1608,1829,1521,1311,1391,1263,1196,824,516,13846
35146,狩川　　　　　　　　,38.8,139.973,17,30,259,473,991,1555,1858,1694,1433,1833,1421,1186,796,348,13847
33371,薮川　　　　　　　　,39.783,141.328,680,30,610,697,1073,1510,1777,1504,1268,1427,1222,1242,949,646,13924
16252,寿都　　　　　　　　,42.795,140.223,33,30,272,467,1110,1707,1946,1704,1556,1631,1539,1213,553,264,13935
13261,達布　　　　　　　　,44.048,141.857,30,30,405,577,1076,1591,1959,1715,1623,1593,1560,1144,446,268,13994
34012,駒ノ湯　　　　　　　,38.913,140.828,532,30,820,887,1289,1681,1783,1274,1006,1113,1002,1229,1135,803,14010
31646,碇ケ関　　　　　　　,40.482,140.62,135,30,471,642,1085,1640,1784,1557,1312,1593,1379,1338,869,549,14019
35176,向町　　　　　　　　,38.758,140.517,212,30,471,635,1105,1605,1869,1549,1300,1610,1244,1225,905,485,14025
12596,上富良野　　　　　　,43.455,142.465,220,30,606,731,1120,1473,1759,1649,1600,1507,1370,1162,614,439,14030
22036,日高　　　　　　　　,42.877,142.442,280,30,680,780,1068,1468,1812,1693,1420,1460,1360,1175,638,517,14030
33441,区界　　　　　　　　,39.65,141.353,734,28,640,751,1072,1464,1743,1489,1219,1398,1237,1328,1000,642,14032
55166,上市　　　　　　　　,36.67,137.423,296,30,528,733,1110,1534,1845,1369,1331,1747,1211,1189,881,578,14055
54616,小出　　　　　　　　,37.227,138.963,98,30,379,578,937,1513,1870,1435,1388,1830,1339,1275,970,543,14056
16156,共和　　　　　　　　,42.98,140.603,15,30,257,436,1115,1718,1951,1651,1614,1692,1617,1261,554,198,14063
