番号,地点名,緯度,経度,標高,年数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,通年
11001,宗谷岬　　　　　　　,45.52,141.935,26,30,92,75,84,64,48,21,10,10,36,78,111,125,749
11016,稚内　　　　　　　　,45.415,141.678,3,30,15,13,11,5,5,1,0,2,4,9,13,13,91
11046,礼文　　　　　　　　,45.305,141.045,65,18,4,5,5,0,1,0,0,1,1,2,3,4,25
11061,声問　　　　　　　　,45.403,141.802,8,18,48,43,49,29,21,8,3,7,15,34,49,54,361
11076,浜鬼志別　　　　　　,45.335,142.17,13,30,27,17,20,13,7,4,1,2,10,12,17,24,153
11091,本泊　　　　　　　　,45.242,141.187,30,18,24,28,51,52,63,27,12,14,11,33,37,34,386
11121,沼川　　　　　　　　,45.248,141.852,23,30,0,0,1,0,0,0,0,0,0,1,1,0,3
11151,沓形　　　　　　　　,45.178,141.138,14,30,5,4,2,0,0,0,0,0,1,3,3,4,22
11176,豊富　　　　　　　　,45.102,141.78,14,30,0,2,2,0,0,0,0,0,1,1,1,3,10
11206,浜頓別　　　　　　　,45.125,142.35,18,30,0,0,0,0,0,0,0,0,0,0,0,0,2
11276,中頓別　　　　　　　,44.965,142.28,25,30,0,0,0,0,0,0,0,0,0,0,0,0,1
11291,北見枝幸　　　　　　,44.94,142.585,7,30,5,4,3,1,2,1,0,1,2,5,2,6,31
11316,歌登　　　　　　　　,44.842,142.48,14,30,0,0,0,0,0,0,0,0,0,0,0,0,0
12041,音威子府　　　　　　,44.727,142.265,40,30,0,0,0,0,0,0,0,0,0,0,0,0,0
12141,美深　　　　　　　　,44.48,142.342,77,30,0,0,0,0,0,0,0,0,0,0,0,0,0
12181,名寄　　　　　　　　,44.37,142.457,89,30,0,0,0,0,0,0,0,0,0,0,0,0,1
12231,下川　　　　　　　　,44.295,142.637,143,30,0,0,0,0,0,0,0,0,0,0,0,0,1
12261,士別　　　　　　　　,44.187,142.417,135,30,0,0,0,0,0,0,0,0,0,0,0,0,0
12266,朝日　　　　　　　　,44.118,142.595,225,30,0,0,0,0,0,0,0,0,0,0,0,0,0
12301,和寒　　　　　　　　,44.028,142.41,150,30,0,0,0,0,0,0,0,0,0,0,0,0,0
12396,比布　　　　　　　　,43.87,142.47,164,30,0,0,0,0,0,0,0,0,0,0,0,0,1
12411,上川　　　　　　　　,43.847,142.753,324,30,0,0,0,1,0,0,0,0,1,1,0,0,3
12442,旭川　　　　　　　　,43.757,142.372,120,30,2,2,3,2,1,0,0,0,0,2,4,2,20
12451,東川　　　　　　　　,43.702,142.508,215,30,0,0,0,0,0,0,0,0,0,0,0,0,0
12501,東神楽　　　　　　　,43.67,142.447,211,18,0,2,3,1,2,1,0,1,1,1,1,0,12
12512,志比内　　　　　　　,43.643,142.582,310,28,0,0,0,0,0,0,0,0,0,0,0,0,0
