番号,地点名,緯度,経度,標高,年数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,通年
11001,宗谷岬　　　　　　　,45.52,141.935,26,30,93,40,38,47,10,18,98,16,41,33,85,138,661
11016,稚内　　　　　　　　,45.415,141.678,3,30,88,46,47,43,56,66,71,58,38,31,72,103,719
11046,礼文　　　　　　　　,45.305,141.045,65,18,78,63,13,12,65,93,36,25,11,14,27,29,468
11076,浜鬼志別　　　　　　,45.335,142.17,13,30,70,41,43,52,73,110,111,81,47,32,55,76,794
11121,沼川　　　　　　　　,45.248,141.852,23,30,129,86,71,72,80,101,107,88,55,48,103,150,1091
11151,沓形　　　　　　　　,45.178,141.138,14,30,101,51,39,5,57,78,84,66,36,7,16,21,560
11176,豊富　　　　　　　　,45.102,141.78,14,30,113,66,63,60,80,91,100,82,48,50,93,142,987
11206,浜頓別　　　　　　　,45.125,142.35,18,30,95,52,56,56,75,99,105,79,52,36,66,82,846
11276,中頓別　　　　　　　,44.965,142.28,25,30,16,60,65,62,75,86,100,83,54,47,80,124,855
11291,北見枝幸　　　　　　,44.94,142.585,7,30,69,42,40,44,68,87,95,77,47,35,55,65,723
11316,歌登　　　　　　　　,44.842,142.48,14,30,17,53,58,58,76,94,97,86,56,39,71,20,721
12011,中川　　　　　　　　,44.828,142.077,22,30,107,80,64,59,59,81,89,76,49,51,106,147,968
12041,音威子府　　　　　　,44.727,142.265,40,30,21,75,67,66,67,84,88,83,57,54,118,33,803
12141,美深　　　　　　　　,44.48,142.342,77,30,16,13,56,60,58,72,74,67,55,45,85,24,625
12181,名寄　　　　　　　　,44.37,142.457,89,30,86,50,56,57,54,73,71,70,49,50,79,23,718
12231,下川　　　　　　　　,44.295,142.637,143,30,83,47,44,59,60,71,73,66,50,42,75,90,757
12261,士別　　　　　　　　,44.187,142.417,135,30,93,62,59,50,53,60,66,64,48,48,97,24,721
12266,朝日　　　　　　　　,44.118,142.595,225,30,92,50,50,55,52,64,67,65,50,44,90,96,777
12301,和寒　　　　　　　　,44.028,142.41,150,30,94,53,60,59,63,71,71,67,50,47,21,113,769
12386,江丹別　　　　　　　,43.87,142.26,140,30,14,70,62,57,58,67,74,64,53,54,89,129,790
12396,比布　　　　　　　　,43.87,142.47,164,30,77,47,50,51,53,58,61,58,50,49,75,105,733
12411,上川　　　　　　　　,43.847,142.753,324,30,92,63,71,61,58,68,63,63,49,49,97,113,848
12442,旭川　　　　　　　　,43.757,142.372,120,30,49,31,34,31,33,36,40,42,35,32,58,61,482
