番号,地点名,緯度,経度,標高,年数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,通年
11001,宗谷岬　　　　　　　,45.52,141.935,26,30,0,0,0,0,0,0,1,2,0,0,0,0,3
11016,稚内　　　　　　　　,45.415,141.678,3,30,0,0,0,0,0,0,1,1,0,0,0,0,2
11046,礼文　　　　　　　　,45.305,141.045,65,18,0,0,0,0,0,0,0,0,0,0,0,0,0
11061,声問　　　　　　　　,45.403,141.802,8,18,0,0,0,0,0,0,1,3,1,0,0,0,4
11076,浜鬼志別　　　　　　,45.335,142.17,13,30,0,0,0,0,0,0,1,3,0,0,0,0,4
11091,本泊　　　　　　　　,45.242,141.187,30,18,0,0,0,0,0,0,1,2,1,0,0,0,4
11121,沼川　　　　　　　　,45.248,141.852,23,30,0,0,0,0,0,0,1,2,0,0,0,0,3
11151,沓形　　　　　　　　,45.178,141.138,14,30,0,0,0,0,0,0,0,2,0,0,0,0,3
11176,豊富　　　　　　　　,45.102,141.78,14,30,0,0,0,0,0,0,1,2,0,0,0,0,3
11206,浜頓別　　　　　　　,45.125,142.35,18,30,0,0,0,0,0,0,2,8,0,0,0,0,11
11276,中頓別　　　　　　　,44.965,142.28,25,30,0,0,0,0,0,0,3,5,0,0,0,0,9
11291,北見枝幸　　　　　　,44.94,142.585,7,30,0,0,0,0,0,0,4,10,1,0,0,0,16
11316,歌登　　　　　　　　,44.842,142.48,14,30,0,0,0,0,0,0,4,9,0,0,0,0,14
12011,中川　　　　　　　　,44.828,142.077,22,30,0,0,0,0,0,0,2,4,0,0,0,0,7
12041,音威子府　　　　　　,44.727,142.265,40,30,0,0,0,0,0,0,2,7,0,0,0,0,10
12141,美深　　　　　　　　,44.48,142.342,77,30,0,0,0,0,0,0,7,16,0,0,0,0,23
12181,名寄　　　　　　　　,44.37,142.457,89,30,0,0,0,0,0,0,7,13,0,0,0,0,20
12231,下川　　　　　　　　,44.295,142.637,143,30,0,0,0,0,0,0,4,5,0,0,0,0,9
12261,士別　　　　　　　　,44.187,142.417,135,30,0,0,0,0,0,0,10,17,1,0,0,0,28
12266,朝日　　　　　　　　,44.118,142.595,225,30,0,0,0,0,0,0,8,15,0,0,0,0,23
12301,和寒　　　　　　　　,44.028,142.41,150,30,0,0,0,0,0,0,15,23,1,0,0,0,39
12386,江丹別　　　　　　　,43.87,142.26,140,30,0,0,0,0,0,0,5,11,0,0,0,0,16
12396,比布　　　　　　　　,43.87,142.47,164,30,0,0,0,0,0,1,14,25,0,0,0,0,40
