番号,地点名,緯度,経度,標高,年数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,通年
11001,宗谷岬　　　　　　　,45.52,141.935,26,30,293,262,194,24,0,0,0,0,0,0,53,235,1058
11016,稚内　　　　　　　　,45.415,141.678,3,30,289,255,175,13,0,0,0,0,0,0,54,230,1015
11046,礼文　　　　　　　　,45.305,141.045,65,18,292,255,165,16,0,0,0,0,0,0,66,228,1022
11061,声問　　　　　　　　,45.403,141.802,8,18,297,270,208,28,0,0,0,0,0,1,67,252,1123
11076,浜鬼志別　　　　　　,45.335,142.17,13,30,300,271,225,30,0,0,0,0,0,1,92,265,1185
11091,本泊　　　　　　　　,45.242,141.187,30,18,293,258,177,16,0,0,0,0,0,0,61,229,1033
11121,沼川　　　　　　　　,45.248,141.852,23,30,302,267,226,38,0,0,0,0,0,1,102,273,1208
11151,沓形　　　　　　　　,45.178,141.138,14,30,280,247,161,11,0,0,0,0,0,0,51,221,973
11176,豊富　　　　　　　　,45.102,141.78,14,30,300,262,209,25,0,0,0,0,0,0,79,261,1136
11206,浜頓別　　　　　　　,45.125,142.35,18,30,304,265,218,35,0,0,0,0,0,1,91,266,1178
11276,中頓別　　　　　　　,44.965,142.28,25,30,304,270,231,44,0,0,0,0,0,2,113,278,1243
11291,北見枝幸　　　　　　,44.94,142.585,7,30,300,266,205,26,0,0,0,0,0,0,71,256,1123
11316,歌登　　　　　　　　,44.842,142.48,14,30,304,271,229,37,0,0,0,0,0,1,108,278,1224
12011,中川　　　　　　　　,44.828,142.077,22,30,303,266,220,30,0,0,0,0,0,1,96,268,1186
12041,音威子府　　　　　　,44.727,142.265,40,30,306,271,225,35,0,0,0,0,0,1,106,279,1227
12141,美深　　　　　　　　,44.48,142.342,77,30,306,273,232,28,0,0,0,0,0,1,110,286,1236
12181,名寄　　　　　　　　,44.37,142.457,89,30,305,274,235,31,0,0,0,0,0,0,106,283,1234
12231,下川　　　　　　　　,44.295,142.637,143,30,307,274,240,38,0,0,0,0,0,0,110,285,1253
12261,士別　　　　　　　　,44.187,142.417,135,30,307,274,228,31,0,0,0,0,0,0,104,284,1227
12266,朝日　　　　　　　　,44.118,142.595,225,30,308,274,232,36,0,0,0,0,0,2,109,285,1246
12301,和寒　　　　　　　　,44.028,142.41,150,30,306,271,224,30,0,0,0,0,0,0,98,278,1207
12386,江丹別　　　　　　　,43.87,142.26,140,30,307,278,239,41,0,0,0,0,0,1,117,291,1275
12396,比布　　　　　　　　,43.87,142.47,164,30,308,276,224,26,0,0,0,0,0,0,105,284,1224
12411,上川　　　　　　　　,43.847,142.753,324,30,308,277,244,52,0,0,0,0,0,2,129,291,1303
12442,旭川　　　　　　　　,43.757,142.372,120,30,304,267,196,13,0,0,0,0,0,0,85,273,1139
12451,東川　　　　　　　　,43.702,142.508,215,30,305,270,221,29,0,0,0,0,0,0,100,278,1202
12501,東神楽　　　　　　　,43.67,142.447,211,18,307,272,217,27,0,0,0,0,0,1,102,281,1207
12512,志比内　　　　　　　,43.643,142.582,310,28,307,273,235,46,0,0,0,0,0,3,114,286,1261
12551,美瑛　　　　　　　　,43.588,142.493,250,30,308,274,234,34,0,0,0,0,0,1,110,283,1244
12596,上富良野　　　　　　,43.455,142.465,220,30,307,273,214,25,0,0,0,0,0,0,95,278,1192
12626,富良野　　　　　　　,43.333,142.4,174,30,305,272,214,19,0,0,0,0,0,0,92,278,1181
12632,麓郷　　　　　　　　,43.302,142.522,315,30,308,276,235,41,0,0,0,0,0,2,120,285,1266
