番号,地点名,緯度,経度,標高,年数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,通年
11016,稚内　　　　　　　　,45.415,141.678,3,30,21,18,15,5,0,0,0,0,0,1,14,21,31
11076,浜鬼志別　　　　　　,45.335,142.17,13,30,25,23,20,6,0,0,0,0,0,1,19,25,33
11121,沼川　　　　　　　　,45.248,141.852,23,30,24,21,16,8,0,0,0,0,0,1,17,27,33
11176,豊富　　　　　　　　,45.102,141.78,14,30,22,20,17,6,0,0,0,0,0,1,15,24,30
11276,中頓別　　　　　　　,44.965,142.28,25,30,30,26,25,11,1,0,0,0,0,1,22,32,44
11291,北見枝幸　　　　　　,44.94,142.585,7,30,23,21,20,9,1,0,0,0,0,1,17,24,33
11316,歌登　　　　　　　　,44.842,142.48,14,30,27,27,23,11,2,0,0,0,0,1,25,31,39
12041,音威子府　　　　　　,44.727,142.265,40,30,36,29,27,12,2,0,0,0,0,2,25,41,49
12141,美深　　　　　　　　,44.48,142.342,77,30,24,23,19,9,0,0,0,0,0,2,23,30,36
12181,名寄　　　　　　　　,44.37,142.457,89,30,24,20,19,9,0,0,0,0,0,2,22,31,38
12231,下川　　　　　　　　,44.295,142.637,143,30,27,24,20,9,0,0,0,0,0,2,21,31,40
12301,和寒　　　　　　　　,44.028,142.41,150,30,21,18,18,8,0,0,0,0,0,1,23,25,32
12411,上川　　　　　　　　,43.847,142.753,324,30,21,22,20,11,0,0,0,0,0,2,20,27,32
12442,旭川　　　　　　　　,43.757,142.372,120,30,18,17,18,6,0,0,0,0,0,1,20,26,30
12471,層雲峡　　　　　　　,43.753,142.93,540,30,26,26,23,17,1,0,0,0,0,6,24,32,39
12501,東神楽　　　　　　　,43.67,142.447,211,15,14,13,15,6,0,0,0,0,0,3,17,18,23
12551,美瑛　　　　　　　　,43.588,142.493,250,30,19,17,19,10,0,0,0,0,0,3,19,21,29
12626,富良野　　　　　　　,43.333,142.4,174,30,19,16,16,7,0,0,0,0,0,1,20,21,25
12691,幾寅　　　　　　　　,43.168,142.568,350,30,21,17,19,11,0,0,0,0,0,3,16,21,31
12746,占冠　　　　　　　　,42.978,142.395,332,30,22,19,19,9,0,0,0,0,0,2,15,22,29
13121,初山別　　　　　　　,44.523,141.77,27,30,24,20,15,4,0,0,0,0,0,1,14,24,30
13181,羽幌　　　　　　　　,44.363,141.7,8,30,23,19,16,4,0,0,0,0,0,0,14,26,32
13206,古丹別　　　　　　　,44.265,141.722,15,30,25,21,16,7,0,0,0,0,0,0,13,27,32
13277,留萌　　　　　　　　,43.945,141.632,24,30,27,22,17,5,0,0,0,0,0,0,12,24,34
14071,厚田　　　　　　　　,43.397,141.437,5,30,29,23,17,4,0,0,0,0,0,0,17,22,32
14101,新篠津　　　　　　　,43.22,141.645,9,30,28,24,15,5,0,0,0,0,0,0,20,31,35
14121,石狩　　　　　　　　,43.193,141.37,5,30,28,22,17,4,0,0,0,0,0,0,12,23,32
